centro,vecino,longitud,basura
1,2,157.756098341,0
1,8,0,1
1,9,286.774107753,0
1,10,125.205030873,0
1,337,0,1
1,338,298.946354639,0
1,344,0,1
2,1,157.756098341,0
2,3,178.396241502,0
2,7,0,1
2,8,368.13046694,0
2,9,0,1
2,331,186.688464589,0
2,336,0,1
2,337,181.971359857,0
2,338,0,1
3,2,178.396241502,0
3,4,314.5351122,0
3,7,185.890937736,0
3,8,0,1
3,331,0,1
3,335,94.3079552328,0
3,336,186.781537825,0
4,3,314.5351122,0
4,5,246.790175329,0
4,6,245.114132436,0
4,7,153.73597265,0
4,20,92.4991288036,0
4,334,0,1
4,335,96.4087540827,0
5,4,246.790175329,0
5,6,178.494788383,0
5,334,331.159476068,0
5,335,0,1
5,339,351.268857557,0
5,340,53.3193075141,0
5,1489,0,1
5,1490,24.1880899548,0
6,4,245.114132436,0
6,5,178.494788383,0
6,20,199.340995403,0
6,21,215.113146831,0
6,340,155.250432856,0
7,2,0,1
7,3,185.890937736,0
7,4,153.73597265,0
7,8,157.619619325,0
7,19,237.871606589,0
7,20,56.7560460445,0
8,1,0,1
8,2,368.13046694,0
8,3,0,1
8,7,157.619619325,0
8,9,65.7439414252,0
8,18,368.060295233,0
8,19,123.923339829,0
9,1,286.774107753,0
9,2,0,1
9,8,65.7439414252,0
9,10,192.941999708,0
9,18,291.600383459,0
10,1,125.205030873,0
10,9,192.941999708,0
10,11,154.040460582,0
10,17,299.385475543,0
10,18,85.6374266079,0
10,29,112.880525499,0
10,30,511.651210802,0
10,120,0,1
10,314,238.166354313,0
10,338,0,1
10,344,259.307649171,0
11,10,154.040460582,0
11,12,196.807692983,0
11,16,313.080094305,0
11,17,646.992115957,0
11,120,279.231695772,0
11,314,0,1
12,11,196.807692983,0
12,13,33.9538919986,0
12,14,383.60210609,0
12,15,0,1
12,16,104.655822662,0
12,117,32.3926733319,0
12,120,348.227258805,0
12,121,49.2355721615,0
13,12,33.9538919986,0
13,14,397.972398278,0
13,15,164.005519115,0
13,35,112.671486727,0
13,36,113.636341917,0
13,37,212.432139704,0
13,38,388.347056789,0
13,121,329.318189734,0
14,12,383.60210609,0
14,13,397.972398278,0
14,15,327.955807653,0
14,16,0,1
15,12,0,1
15,13,164.005519115,0
15,14,327.955807653,0
15,16,299.077274777,0
15,31,23.2325644615,0
15,32,95.7963220213,0
15,34,193.146640325,0
15,35,163.591846793,0
16,11,313.080094305,0
16,12,104.655822662,0
16,14,0,1
16,15,299.077274777,0
16,17,51.8345495318,0
16,31,157.224687208,0
17,10,299.385475543,0
17,11,646.992115957,0
17,16,51.8345495318,0
17,30,175.715160432,0
17,31,5.9406270107,0
18,8,368.060295233,0
18,9,291.600383459,0
18,10,85.6374266079,0
18,19,147.246545994,0
18,28,280.451806654,0
18,29,217.154757541,0
19,7,237.871606589,0
19,8,123.923339829,0
19,18,147.246545994,0
19,20,159.915306728,0
19,28,363.18224132,0
20,4,92.4991288036,0
20,6,199.340995403,0
20,7,56.7560460445,0
20,19,159.915306728,0
20,21,102.416898251,0
20,22,152.225234613,0
20,28,148.362763723,0
21,6,215.113146831,0
21,20,102.416898251,0
21,22,181.230805358,0
21,340,89.6500341773,0
21,341,237.906526175,0
21,342,97.8505211043,0
22,20,152.225234613,0
22,21,181.230805358,0
22,23,131.31416617,0
22,24,170.38375749,0
22,28,105.537977992,0
22,342,122.536398013,0
22,343,53.5648218361,0
23,22,131.31416617,0
23,24,258.635741459,0
23,25,109.719694958,0
23,343,292.854181938,0
23,4587,151.933855446,0
23,4650,47.6797123062,0
24,22,170.38375749,0
24,23,258.635741459,0
24,25,276.978359252,0
