ID_ESTADO|ID_DISTRITO|TIPO_CANDIDATURA|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
1|1|4|11845|87|139525|151370|42179|46561|8319|7165|3880|1477|26991||1912|672|121|161
1|1|5|11918|89|140068|151986|42369|46732|9441|7182|4949|2262|27044|||||
1|2|4|14553|251|165333|179886|54480|50217|16450|8508|4163|3368|22429||4168|869|254|176
1|3|4|11557|178|145382|156939|62656|43277|12223|6092|2481|2192|12833||2564|600|174|112
1|3|5|11746|181|146686|158432|63217|43547|13759|6133|3722|3224|12903|||||
2|1|5|13461|66|127228|140689|47429|43247|17040|5379|3739|3744|6584|||||
2|3|4|11343|84|136934|148277|41733|39146|28118|4933|6019|2695|5242||6124|2228|416|196
2|3|5|11572|85|138640|150212|42300|39495|32041|4986|9345|5106|5282|||||
2|4|4|12133|59|146071|158204|43579|37428|26614|6845|9580|3563|7793||7475|2370|428|337
2|6|5|14320|73|146644|160964|48254|40969|31031|6704|7252|6891|5470|||||
2|7|4|16041|72|154884|170925|52136|50018|23480|7246|4651|2842|6137||6018|1692|404|188
2|7|5|16193|74|156503|172696|52757|50512|26859|7295|7640|5180|6186|||||
2|8|4|14145|94|168890|183035|51768|46425|34350|7897|5408|5009|6425||8241|2276|723|274
3|1|5|9566|63|108553|118119|39816|42353|13552|1719|4869|3560|2621|||||
3|2|5|11140|110|125588|136728|43907|47013|17738|3461|5548|4524|3287|||||
4|1|4|17566|68|182316|199882|53634|77861|18388|3582|3285|7359|11017||5089|1005|488|540
4|1|5|17848|69|184331|202179|54272|78420|21295|3627|5795|9703|11150|||||
4|2|4|18518|55|160338|178856|56759|61006|18854|3093|3820|4344|4920||5012|1626|413|436
4|2|5|18749|56|163247|181996|57768|61747|22366|3183|6584|6546|4997|||||
5|1|4|11033|64|142291|153324|56175|56985|11858|5570|2585|1554|4198||2276|689|185|152
5|1|5|11158|66|143371|154529|56689|57241|13248|5600|3796|2495|4236|||||
5|2|4|11165|68|166318|177483|61098|66515|17152|5237|3712|1873|5872||3231|1161|254|145
5|3|4|11630|74|167065|178695|71554|60124|15747|5178|3257|1741|5006||3259|844|179|102
5|3|5|11677|74|167511|179188|71804|60196|17433|5187|4827|2977|5013|||||
5|4|4|13014|60|143017|156031|48260|60956|13148|5939|3045|1465|6420||2634|788|162|140
5|5|4|13349|62|161474|174823|57070|63452|18464|5958|3737|1740|5388||4126|1100|234|143
5|5|5|13442|62|162175|175617|57453|63558|20658|5976|5746|3311|5411|||||
5|6|4|12245|126|178069|190314|74787|52979|25282|4952|4320|2310|6487||5129|1265|224|208
5|7|5|10501|133|137019|147520|57140|49870|13430|4459|3895|2278|5814|||||
6|1|4|6102|122|160641|166743|54914|64848|13377|4707|6171|1825|3392|7812|2358|816|141|158
6|1|5|6469|127|163289|169758|55960|69455|15172|8687|7567|2857|3464|||||
7|1|4|11960|49|186271|198231|21763|45282|36668|51216|8575|2380|2726|5539|7149|4291|413|220
7|1|5|12229|51|187124|199353|21910|48244|41739|54041|13259|5128|2752|||||
7|2|4|9165|80|150670|159835|14389|53994|31820|27330|5302|800|10059|2736|1919|2096|88|57
7|3|4|10623|36|161092|171715|21804|39826|26356|46704|3578|1717|12577|3412|3185|1619|178|100
7|3|5|10696|36|161415|172111|21875|41624|28402|48449|5510|2928|12591|||||
7|4|4|11199|91|159215|170414|30127|38810|21927|38070|4083|2089|11414|7061|3539|1658|224|122
7|5|4|11542|103|157073|168615|14283|56236|29377|33980|3385|2046|3314|8386|4029|1585|250|99
7|5|5|11678|106|158334|170012|14608|60622|32148|38243|5632|3618|3357|||||
7|6|5|12674|129|165496|178170|30557|43948|30195|43944|7025|4049|5649|||||
7|7|4|7988|39|131728|139716|29558|29042|19234|26636|5409|1781|8781|6023|3017|1945|170|93
7|9|5|13004|250|156794|169798|24505|32745|38934|37974|9152|6379|6855|||||
7|10|4|11491|96|151938|163429|28986|34447|20344|44645|3340|1717|8242|5379|2908|1548|187|99
7|10|5|11596|98|152388|163984|29119|37243|22303|47377|5145|2843|8260|||||
7|11|4|10350|55|160652|171002|28831|43085|27388|35469|6290|1360|2736|8404|3565|3175|196|98
7|12|5|8848|93|146500|155348|38857|46486|19157|28094|5751|3323|4739|||||
8|1|4|17161|166|157922|175083|35466|58711|24526|12357|5247|2971|8917||7207|1699|385|270
8|1|5|17305|166|158748|176053|35729|59010|28136|12398|8644|5713|8952|||||
8|3|5|10412|121|122807|133219|42321|35154|21736|7217|5394|4343|6521|||||
8|4|4|10613|75|90946|101559|23182|31409|13495|6225|3769|1667|5206||4259|1270|229|160
8|4|5|10650|75|91587|102237|23385|31617|15823|6245|5924|3288|5230|||||
8|5|5|13283|99|160992|174275|54016|71560|14785|5628|4226|2414|8264|||||
8|7|4|14897|93|140726|155623|34339|65431|17345|6555|3737|1938|6163||3278|1293|359|195
8|7|5|14921|93|140971|155892|34430|65495|19320|6568|5576|3317|6172|||||
8|8|5|15380|124|160446|175826|56069|60557|15297|9785|5523|2930|10161|||||
8|9|4|15363|111|133759|149122|34003|79145|6586|3767|1724|710|6061||1039|449|100|64
8|9|5|15422|112|134194|149616|34163|79298|7277|3776|2334|1154|6080|||||
9|1|4|4344|86|136352|140696|16403|18886|52259|5026|6623|3615|4220|6584|17265|4248|723|414
9|3|5|6733|168|182896|189629|37938|36455|65758|10504|14858|11309|5906|||||
9|4|4|5309|132|160944|166253|24183|22803|55362|5915|10379|5030|5059|7095|19153|4471|716|646
9|4|5|5402|132|161505|166907|24306|26449|64580|9478|19354|12136|5070|||||
9|7|5|6307|237|182469|188776|30417|38072|69364|11872|15595|11401|5511|||||
9|8|5|6807|186|186794|193601|39188|39327|64910|11236|15285|11185|5477|||||
9|10|4|7712|214|204725|212437|64695|37476|54038|6149|6577|4273|5167|8741|13657|2739|609|390
9|10|5|7712|214|204725|212437|64695|41847|60266|10519|12693|9324|5167|||||
9|11|4|5355|181|155047|160402|25373|25866|54608|5128|6909|4353|4843|7992|15315|3308|714|457
9|11|5|5421|181|155733|161154|25680|29999|61908|9141|13914|10056|4854|||||
9|14|4|5880|118|163943|169823|23498|22588|59417|5772|8668|4499|5170|7910|20267|4669|864|503
9|14|5|5880|118|163943|169823|23498|26543|68940|9727|18010|11937|5170|||||
9|15|5|9700|276|232364|242064|88480|43029|60718|10185|15314|9455|4907|||||
9|16|4|7213|165|189131|196344|39252|28207|60238|6908|7874|4819|7114|9280|18968|4776|1043|487
9|17|5|7972|235|203116|211088|50110|39084|66960|13437|15299|10358|7633|||||
9|19|4|4854|127|150522|155376|15788|20788|56363|5556|7857|4344|5024|7404|21236|4717|823|495
9|19|5|4995|127|150975|155970|15875|24559|66437|9267|17574|12101|5035|||||
9|20|4|6162|132|177948|184110|32650|29048|55824|6274|10864|5287|6340|8435|17521|4168|697|708
28|1|5|11709|148|164149|175858|76073|43621|15131|4657|3154|2279|19086|||||
28|2|5|11611|127|164223|175834|63602|50448|22791|7007|6118|4227|9903|||||
28|3|4|12813|88|208782|221595|83357|71217|22844|7433|4048|2250|11951||3919|1248|278|149
28|5|4|10981|74|169353|180334|53942|57137|14365|4724|5214|1970|26172||4211|1138|224|182
28|5|5|11007|75|169660|180667|54065|57202|16524|4733|7284|3594|26183|||||
28|6|5|10413|39|156345|166758|64305|59994|11745|5155|2769|1946|10392|||||
28|7|4|9652|93|177007|186659|74610|47385|26992|7014|2705|1847|9451||5159|1288|345|118
28|8|5|8462|91|157325|165787|78676|35993|21956|5680|3657|3283|7989|||||
29|1|4|16562|73|155913|172475|53205|42843|26985|7190|5274|3124|7973||6533|2003|465|245
29|1|5|16675|74|156502|173177|53407|42961|30579|7209|8604|5677|7991|||||
29|2|4|13008|87|167686|180694|43929|42125|38184|6792|8789|4518|8753||10696|2873|576|364
29|2|5|13322|88|169265|182587|44375|42545|43918|6852|14038|8619|8830|||||
29|3|4|13727|50|150744|164471|44134|38019|31163|4847|6007|4290|8004||10615|2666|628|321
29|3|5|13892|51|151604|165496|44367|38237|36625|4878|11080|8334|8032|||||
30|1|5|4083|40|136895|140978|52713|55583|13644|8089|2762|1931|2133|||||
30|2|4|5895|67|170021|175916|65326|62279|22102|4464|3314|744|2272|6509|1811|968|123|42
30|2|5|6059|68|170925|176984|65595|65881|23458|7745|4435|1440|2303|||||
30|3|4|4505|72|144464|148969|50900|51787|16642|4595|2105|1250|3133|9201|3438|989|232|120
