ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PVEM|PANAL|PRI_PVEM|PRD_PT_MC
15|8|3759|85|134963|138722|21344|||6698|57380|49456
2|1|3863|64|134291|138154|45674|||8395|56451|23707
15|19|4410|137|155974|160384|35578|||4676|61023|54560
25|4|9633|22|115892|125525|14806|39659|3363|32270||25772
19|6|4690|175|143664|148354|69544|||5653|49554|18738
15|37|4439|133|161338|165777|28151|||8058|64715|60281
11|13|6855|57|143974|150829|61420|||9523|43485|29489
14|5|6319|92|175231|181550|47488|||6667|68719|52265
7|8|15423|88|162425|177848|10729|40605|71823|6737||32443
24|3|16306|55|135429|151735|49803|57693|4292|4183||19403
4|1|17521|156|181867|199388|50465|83741|4230|14355||28920
15|10|5014|144|185934|190948|28564|||7219|81383|68624
15|21|4310|115|146841|151151|45188|||4501|59673|37364
30|20|5038|32|147793|152831|55860|||2339|64388|25174
9|6|5488|181|163616|169104|22278|||5468|41820|93869
14|3|7312|191|163842|171154|67195|||3476|73302|19678
5|3|11388|91|167136|178524|69680|58396|8806|4319||25844
30|15|6084|92|177111|183195|47736|||3441|86099|39743
5|7|9831|68|136024|145855|54143|52272|3736|8353||17452
15|2|5242|114|173297|178539|39876|||6765|73840|52702
31|2|5547|53|205058|210605|78022|||4331|104896|17756
12|2|11207|125|149712|160919|24224|49161|7051|5025||64126
7|1|11562|36|186012|197574|25459|||2899|101261|56357
4|2|7036|69|172246|179282|58087|||5162|78149|30779
14|11|5570|117|155047|160617|39737|||4720|68465|42008
21|16|14590|48|118730|133320|26561|48693|2636|17114||23678
30|14|4444|88|150491|154935|37699|||1923|69406|41375
7|3|13450|42|158031|171481|23339|39661|46838|12600||35551
5|6|11884|128|178282|190166|76662|50925|4619|7706||38242
25|3|13304|87|138678|151982|42469|61883|4565|10687||18987
28|1|10678|98|161520|172198|76341|48588|3800|11039||21654
20|2|8655|66|126599|135254|26186|44470|2623|996||52258
15|35|5981|77|160101|166082|28060|||6593|79551|45820
27|5|6176|41|184391|190567|16242|||2605|67712|97791
7|12|8278|103|144552|152830|44963|||10598|62267|26621
32|4|6981|178|165716|172697|27277|||7968|93496|36797
19|5|3963|87|120096|124059|36483|||3731|60233|19562
6|2|3892|42|129131|133023|50441|||1812|62821|14015
15|31|3677|134|131047|134724|12446|||4082|49120|65265
26|1|9480|50|139093|148573|67041|51038|2852|2399||15713
19|11|4213|75|148372|152585|55924|||7403|64096|20874
15|32|3940|76|138232|142172|12882|||5070|54741|65463
19|8|4239|94|151988|156227|67047|||7641|55907|21299
9|13|5406|155|155074|160480|24902|||5594|41314|83109
27|2|5361|32|154786|160147|4774|||1764|65985|82231
8|6|14008|161|163988|177996|63771|64160|6497|8334||21065
2|2|3824|113|137562|141386|51840|||6086|54958|24565
11|12|7618|53|158773|166391|65229|||5947|66018|21526
26|3|8274|79|142817|151091|62626|59958|1502|5295||13357
15|28|6241|234|243278|249519|56660|||12193|112712|61479
16|3|13233|65|114859|128092|20276|40766|5638|3487||44627
30|1|4093|36|135648|139741|51501|||2608|64410|17093
30|13|5538|64|179074|184612|90306|||2502|61858|24344
15|27|6302|156|185275|191577|45919|||6436|89384|43380
7|7|7907|59|130611|138518|30631|||9711|58791|31419
15|3|6560|77|146438|152998|35633|||6694|81750|22284
11|11|6285|26|139186|145471|58405|||2954|62468|15333
14|16|6371|114|173017|179388|47496|||5055|74503|45849
14|4|6583|207|171161|177744|47984|||5818|77072|40080
19|7|4010|87|123450|127460|52140|||6296|46342|18585
15|30|3681|147|133581|137262|14475|||4412|48614|65933
3|1|9494|72|105528|115022|42876|34161|2222|4543||21654
17|3|7943|179|163209|171152|28421|||9064|57340|68205
9|23|6814|234|188151|194965|37748|||4766|35423|109980
8|2|9451|45|78743|88194|18169|31531|5378|4091||19529
21|4|7971|20|146906|154877|34363|||16417|60357|35749
26|4|12632|47|147909|160541|31813|58137|3879|24113||29920
21|5|5216|62|137951|143167|34847|||16623|53120|33299
14|7|5915|128|158191|164106|40329|||5533|74259|37942
19|1|5257|123|165791|171048|91761|||6490|47859|19558
16|2|13488|83|121284|134772|23861|42761|5460|3988||45131
5|5|13248|81|162339|175587|56722|64924|6115|5606||28891
12|1|9155|87|140248|149403|8851|54447|4269|1435||71159
2|7|4258|93|166251|170509|47494|||6631|73527|38506
26|7|11525|47|149363|160888|67301|50646|2601|4107||24661
7|4|10747|78|159063|169810|26711|||12534|85486|34254
15|1|6488|50|165625|172113|36742|||4261|95314|29258
8|3|9776|143|120925|130701|39168|36120|7443|7584||30467
23|3|5032|192|126991|132023|37958|||3468|40380|44993
24|4|14098|68|128872|142970|36935|44960|9054|7832||30023
19|12|8305|203|265712|274017|85522|||12457|126069|41461
17|5|7836|126|150749|158585|45230|||6169|45526|53698
9|12|6555|180|170638|177193|33566|||5600|48588|82704
9|17|7878|225|201929|209807|48502|||7745|52814|92643
15|25|3752|86|141312|145064|15015|||4834|68887|52490
14|1|5542|48|166362|171904|54132|||5925|74048|32209
9|1|4486|103|136507|140993|15423|||4339|30989|85653
30|17|6155|76|191029|197184|83846|||4173|70639|32295
30|2|5904|55|169234|175138|63460|||2962|72742|30015
15|26|5917|123|184455|190372|48128|||8014|95400|32790
9|7|5938|218|180312|186250|28429|||5428|49803|96434
11|10|7218|77|141278|148496|60746|||7425|54030|19000
9|21|6003|164|159774|165777|19757|||6391|42874|90588
22|2|11148|176|199550|210698|74117|||14608|78916|31733
11|5|8603|129|187807|196410|90214|||5124|80614|11726
12|9|6104|122|133381|139485|13741|||3764|51425|64329
16|10|10118|245|147335|157453|47097|||4062|68849|27082
13|3|12246|53|166094|178340|20722|64310|8586|20356||52067
15|17|4411|113|153113|157524|20132|||9750|60956|62162
15|36|6566|47|161609|168175|31494|||2262|72526|55280
16|8|8386|139|138355|146741|33222|||4773|71733|28488
25|5|13354|191|159156|172510|35082|69977|4523|15068||34315
16|1|10186|65|114266|124452|16865|47214|3504|2733||43885
14|9|6280|140|155747|162027|41773|||5018|66975|41841
27|3|5880|41|179649|185529|6294|||3835|65062|104417
8|7|14831|98|139687|154518|32205|66539|6839|7787||26219
9|18|4844|174|152462|157306|18779|||5267|39289|88953
21|10|6200|123|163154|169354|66059|||7970|42483|46519
24|1|18424|118|138822|157246|40365|57543|7566|3746||29484
6|1|5623|109|160963|166586|57230|||3806|68965|30853
11|9|6462|85|161173|167635|70670|||3951|73486|12981
16|7|11462|58|126403|137865|27410|41984|7249|3304||46398
15|22|3841|117|132639|136480|43180|||3635|50279|35428
22|3|14865|171|196917|211782|87794|60191|8030|5255||35476
20|5|7585|47|128295|135880|17322|38079|2320|1257||69270
31|5|5749|53|209017|214766|83700|||2477|100808|21979
7|11|10667|56|160037|170704|30032|||2703|84249|42997
15|9|7593|88|174381|181974|31111|||6999|96494|39689
11|1|6875|73|123899|130774|49054|||5559|56225|12988
5|2|11733|56|167538|179271|61226|67710|5284|5783||27479
16|6|14958|65|118908|133866|34233|41511|5439|4403||33257
10|3|14886|46|151016|165902|48738|72648|6797|3593||19194
19|2|4172|91|175115|179287|58074|||8773|85779|22398
31|3|6185|144|213254|219439|87725|||4479|96994|23912
11|2|8380|59|131950|140330|58328|||6001|51511|16051
15|40|6200|116|158962|165162|33958|||6119|82415|36354
29|3|13437|58|150855|164292|37637|38149|4695|13227||57089
11|8|7719|69|177234|184953|80801|||10431|65519|20414
14|12|9883|157|249333|259216|61558|||7539|96212|83867
24|5|9360|373|156642|166002|73249|||6071|46067|30882
20|11|10045|29|142694|152739|18931|47767|3467|1713||70787
30|4|4994|104|165350|170344|81627|||3662|52887|27070
16|4|10977|48|124353|135330|37575|50323|4293|2887||29227
16|12|9366|61|102297|111663|20953|42262|3463|1827||33731
9|9|5381|179|164219|169600|24337|||4566|48520|86617
31|1|3922|45|196400|200322|80133|||4432|96982|14808
30|16|6286|203|179832|186118|66891|||4261|63581|44896
32|1|4885|44|154842|159727|22075|||6165|86448|40110
11|3|8531|131|187692|196223|84790|||6023|84458|12290
13|2|11492|79|151473|162965|22418|58751|6223|10834||53168
27|6|6675|109|195624|202299|10354|||3292|76261|105608
7|5|11309|104|155642|166951|18948|||4514|92524|39552
13|6|11702|124|173697|185399|53682|56040|6373|13775||43703
16|9|14498|115|129922|144420|34530|44110|7788|4112||39267
15|20|3523|167|134840|138363|17910|||3799|53232|59732
7|10|14569|45|148369|162938|30008|35477|47536|7478||27825
25|7|13314|100|132268|145582|27593|61849|4792|15572||22362
14|10|8652|226|174643|183295|66337|||4377|60636|43067
27|1|5625|37|156863|162488|15094|||1386|67590|72756
18|1|9965|24|123931|133896|21252|59537|3065|2561||37492
24|2|10522|272|150172|160694|43323|||10615|58578|37384
1|3|12034|209|144176|156210|57508|45599|8096|11576||21188
15|14|4871|122|166300|171171|47194|||5914|61296|51774
30|9|6475|59|168757|175232|56979|||3788|71127|36804
9|26|7715|441|194798|202513|50476|||5758|50676|87447
18|3|13329|78|148139|161468|38062|66625|4388|5072||33914
19|10|5063|122|136662|141725|56694|||4449|56125|19272
7|9|13002|228|153926|166928|21579|||15136|60779|56204
9|25|5726|200|161827|167553|22124|||5666|36530|97307
9|8|6343|210|185318|191661|37122|||5257|50575|92154
8|1|17100|127|157822|174922|31402|61613|12542|9516||42622
15|23|8365|59|179619|187984|40511|||6243|85565|47241
30|7|5147|40|151148|156295|51748|||7306|66123|25931
28|7|9367|118|176435|185802|63206|52060|6450|6067||48534
27|4|4960|63|173483|178443|7859|||2981|53654|108926
21|13|4346|63|124125|128471|40878|||5155|46717|31312
21|14|5239|52|121080|126319|18380|||9619|51955|41074
9|20|6103|187|177681|183784|31306|||6719|44590|94879
21|9|5817|112|168282|174099|59838|||13351|39639|55342
9|22|4792|142|148624|153416|12742|||4817|33070|97853
25|8|11589|155|120004|131593|43898|40897|5744|7295||22015
32|2|5587|40|150832|156419|39309|||5930|76324|29229
9|19|4663|110|150450|155113|14739|||4858|32328|98415
30|11|4411|82|175509|179920|22405|||2269|79470|71283
30|8|6149|103|192309|198458|67262|||4269|69699|50976
14|6|9279|230|195137|204416|73646|||5143|76575|39543
19|9|7196|44|175735|182931|46371|||20937|88488|19895
25|6|11013|82|124328|135341|40410|57257|3016|8474||15089
8|4|10757|67|90075|100832|20684|31856|6877|5984||24607
14|19|6213|57|168999|175212|46963|||8622|72003|41354
14|8|7303|162|166771|174074|57691|||4155|66862|37901
28|3|12630|111|209086|221716|78708|75778|5840|7480||41169
9|14|5606|158|164008|169614|21860|||5206|37533|99251
25|1|10348|38|124187|134535|51234|53849|2141|4649||12276
30|10|7366|206|173944|181310|45813|||8543|43610|75772
24|6|9094|454|152376|161470|57760|||8837|52618|32707
14|18|6570|66|175911|182481|63206|||11219|67022|34398
24|7|21089|300|155852|176941|51610|52484|6735|7660||37063
5|4|12456|84|142803|155259|48361|61539|5660|6658||20501
23|1|7191|186|235856|243047|44606|||7740|97930|85394
10|4|11033|97|169106|180139|42041|63168|3854|4574||55372
30|18|7151|89|164713|171864|44762|||2743|68925|48194
20|6|10256|95|116944|127200|14456|29328|5053|2919||65093
15|29|3405|104|132355|135760|13981|||3989|53076|61205
12|5|11046|39|156185|167231|15558|48084|2370|2255||87879
2|3|3684|73|143431|147115|33779|||4961|61172|43446
13|4|10665|67|135578|146243|42437|51783|7232|6657||27402
9|15|9263|247|233025|242288|86764|||5364|54493|86157
20|7|11436|40|140488|151924|19921|59087|2607|1395||57438
15|39|4952|143|165257|170209|14626|||6800|71880|71808
19|4|4304|93|159380|163684|87279|||7139|42717|22152
9|11|5236|193|155206|160442|24885|||4973|38759|86396
32|3|6249|159|156839|163088|29181|||7400|85200|34899
9|2|6224|193|173452|179676|45890|||5077|43623|78669
15|13|3917|123|143128|147045|19640|||5085|61780|56500
15|7|5640|195|196925|202565|54037|||7518|70106|65069
15|4|5339|110|193192|198531|41881|||7552|77612|66037
2|8|3879|141|178538|182417|49460|||7514|68091|53332
11|14|7031|42|133428|140459|50059|||3794|47769|31764
15|15|5634|130|171320|176954|61417|||5687|57016|47070
3|2|11389|106|122923|134312|45484|41909|4442|5012||25970
28|2|10631|71|161440|172071|61034|57646|6208|6873||29608
2|4|3558|55|154169|157727|41986|||10663|54073|47392
11|4|9126|116|161472|170598|65076|||6737|71613|17930
15|34|5721|152|179748|185469|49813|||7622|87671|34490
15|33|7058|177|198109|205167|27404|||7513|84817|78198
21|12|6144|152|178258|184402|58671|||14123|48915|56397
