ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
11|13|6855|57|143974|150829|61420|30339|24044|13146|3117|2328|9523
31|3|6185|144|213254|219439|87725|86316|16495|10678|3768|3649|4479
21|16|14590|48|118730|133320|26561|48693|13665|2636|7371|2642|17114
9|23|6814|234|188151|194965|37748|27545|79584|7878|17911|12485|4766
29|3|13437|58|150855|164292|37637|38149|37978|4695|10985|8126|13227
5|3|11388|91|167136|178524|69680|58396|17592|8806|4975|3277|4319
31|5|5749|53|209017|214766|83700|92591|16285|8217|4287|1407|2477
15|8|3759|85|134963|138722|21344|47227|36442|10153|6460|6554|6698
11|8|7719|69|177234|184953|80801|52288|13544|13231|3751|3119|10431
16|10|10118|245|147335|157453|47097|56716|19284|12133|4060|3738|4062
24|5|9360|373|156642|166002|73249|33652|20660|12415|5465|4757|6071
20|11|10045|29|142694|152739|18931|47767|57010|3467|8111|5666|1713
26|4|12632|47|147909|160541|31813|58137|19579|3879|6302|4039|24113
21|5|5216|62|137951|143167|34847|42644|19462|10476|9080|4757|16623
9|6|5488|181|163616|169104|22278|32224|68037|9596|14586|11246|5468
16|4|10977|48|124353|135330|37575|50323|23659|4293|3231|2337|2887
25|4|9633|22|115892|125525|14806|39659|21543|3363|2413|1816|32270
15|37|4439|133|161338|165777|28151|53522|41437|11193|7939|10905|8058
7|8|15423|88|162425|177848|10729|40605|21648|71823|8155|2640|6737
24|3|16306|55|135429|151735|49803|57693|8689|4292|7650|3064|4183
4|1|17521|156|181867|199388|50465|83741|16966|4230|4640|7314|14355
15|10|5014|144|185934|190948|28564|65131|50816|16252|9741|8067|7219
15|21|4310|115|146841|151151|45188|49665|27487|10008|5812|4065|4501
30|20|5038|32|147793|152831|55860|56705|17008|7683|5134|3032|2339
15|30|3681|147|133581|137262|14475|40317|48639|8297|8454|8840|4412
19|2|4172|91|175115|179287|58074|75694|13327|10085|6647|2424|8773
14|12|9883|157|249333|259216|61558|78445|20639|17767|6448|56780|7539
30|4|4994|104|165350|170344|81627|45763|18594|7124|4315|4161|3662
9|17|7878|225|201929|209807|48502|39856|67263|12958|15223|10157|7745
19|7|4010|87|123450|127460|52140|40900|10540|5442|5912|2133|6296
14|7|5915|128|158191|164106|40329|61271|11028|12988|5601|21313|5533
9|9|5381|179|164219|169600|24337|36847|63252|11673|13011|10354|4566
30|16|6286|203|179832|186118|66891|55356|31811|8225|6379|6706|4261
26|7|11525|47|149363|160888|67301|50646|19638|2601|3264|1759|4107
7|4|10747|78|159063|169810|26711|43650|24440|41836|6161|3653|12534
15|1|6488|50|165625|172113|36742|84366|17420|10948|6262|5576|4261
9|13|5406|155|155074|160480|24902|32164|59737|9150|13814|9558|5594
27|2|5361|32|154786|160147|4774|60010|68874|5975|8256|5101|1764
8|6|14008|161|163988|177996|63771|64160|14762|6497|3620|2683|8334
19|8|4239|94|151988|156227|67047|48984|12721|6923|6133|2445|7641
11|12|7618|53|158773|166391|65229|51396|14830|14622|3657|3039|5947
26|3|8274|79|142817|151091|62626|59958|9097|1502|2486|1774|5295
2|2|3824|113|137562|141386|51840|46245|17486|8713|3420|3659|6086
30|14|4444|88|150491|154935|37699|61623|31558|7783|5790|4027|1923
15|17|4411|113|153113|157524|20132|49432|46091|11524|8843|7228|9750
15|36|6566|47|161609|168175|31494|67131|48641|5395|5009|1630|2262
23|3|5032|192|126991|132023|37958|32592|35176|7788|5666|4151|3468
15|2|5242|114|173297|178539|39876|62452|35051|11388|6504|11147|6765
17|5|7836|126|150749|158585|45230|34934|36416|10592|10235|7047|6169
8|2|9451|45|78743|88194|18169|31531|12745|5378|4216|2568|4091
9|12|6555|180|170638|177193|33566|37296|58089|11292|14119|10496|5600
7|7|7907|59|130611|138518|30631|31753|20615|27038|7916|2888|9711
16|6|14958|65|118908|133866|34233|41511|25376|5439|4792|3089|4403
20|2|8655|66|126599|135254|26186|44470|35609|2623|6076|10573|996
32|4|6981|178|165716|172697|27277|75923|24572|17573|9155|3070|7968
6|1|5623|109|160963|166586|57230|61604|17182|7361|10619|3052|3806
20|5|7585|47|128295|135880|17322|38079|54435|2320|8247|6588|1257
5|2|11733|56|167538|179271|61226|67710|18886|5284|5416|3177|5783
11|9|6462|85|161173|167635|70670|63390|8587|10096|2247|2147|3951
22|3|14865|171|196917|211782|87794|60191|22282|8030|5314|7880|5255
15|22|3841|117|132639|136480|43180|41891|25642|8388|5930|3856|3635
16|7|11462|58|126403|137865|27410|41984|37072|7249|6131|3195|3304
15|25|3752|86|141312|145064|15015|56929|38685|11958|7547|6258|4834
16|3|13233|65|114859|128092|20276|40766|34672|5638|6882|3073|3487
5|7|9831|68|136024|145855|54143|52272|11876|3736|3597|1979|8353
15|9|7593|88|174381|181974|31111|83431|16016|13063|9251|14422|6999
14|1|5542|48|166362|171904|54132|65931|14202|8117|5265|12742|5925
30|2|5904|55|169234|175138|63460|65379|24133|7363|4358|1524|2962
15|26|5917|123|184455|190372|48128|81088|24108|14312|5216|3466|8014
14|16|6371|114|173017|179388|47496|61067|12043|13436|4602|29204|5055
10|3|14886|46|151016|165902|48738|72648|8888|6797|8436|1870|3593
11|5|8603|129|187807|196410|90214|64077|8071|16537|1939|1716|5124
9|7|5938|218|180312|186250|28429|38258|69409|11545|15457|11568|5428
11|10|7218|77|141278|148496|60746|37929|13211|16101|3730|2059|7425
12|9|6104|122|133381|139485|13741|41062|44142|10363|7705|12482|3764
19|1|5257|123|165791|171048|91761|40817|10568|7042|6015|2975|6490
9|21|6003|164|159774|165777|19757|32583|63530|10291|16463|10595|6391
27|3|5880|41|179649|185529|6294|59367|88217|5695|9642|6558|3835
8|3|9776|143|120925|130701|39168|36120|21014|7443|5247|4206|7584
9|18|4844|174|152462|157306|18779|29649|62553|9640|15264|11136|5267
32|1|4885|44|154842|159727|22075|70265|15388|16183|22015|2707|6165
24|2|10522|272|150172|160694|43323|43260|26274|15318|6659|4451|10615
24|1|18424|118|138822|157246|40365|57543|9980|7566|11909|7595|3746
7|5|11309|104|155642|166951|18948|58320|30752|34204|5421|3379|4514
9|25|5726|200|161827|167553|22124|26581|67378|9949|18029|11900|5666
27|1|5625|37|156863|162488|15094|61758|57098|5832|7606|8052|1386
7|10|14569|45|148369|162938|30008|35477|20371|47536|4965|2489|7478
25|7|13314|100|132268|145582|27593|61849|15530|4792|3909|2923|15572
14|10|8652|226|174643|183295|66337|48733|12739|11903|4535|25793|4377
16|9|14498|115|129922|144420|34530|44110|30445|7788|5633|3189|4112
18|1|9965|24|123931|133896|21252|59537|28470|3065|5722|3300|2561
11|3|8531|131|187692|196223|84790|67560|8468|16898|2091|1731|6023
1|3|12034|209|144176|156210|57508|45599|14133|8096|3785|3270|11576
15|14|4871|122|166300|171171|47194|50397|36703|10899|8561|6510|5914
30|9|6475|59|168757|175232|56979|62355|26947|8772|5997|3860|3788
9|26|7715|441|194798|202513|50476|40683|61025|9993|16459|9963|5758
18|3|13329|78|148139|161468|38062|66625|20578|4388|8920|4416|5072
19|10|5063|122|136662|141725|56694|48702|12471|7423|4482|2319|4449
13|6|11702|124|173697|185399|53682|56040|30705|6373|7339|5659|13775
7|9|13002|228|153926|166928|21579|28459|40516|32320|9260|6428|15136
30|1|4093|36|135648|139741|51501|56721|12676|7689|2520|1897|2608
15|27|6302|156|185275|191577|45919|77874|25432|11510|12703|5245|6436
7|3|13450|42|158031|171481|23339|39661|27530|46838|5399|2622|12600
9|8|6343|210|185318|191661|37122|39452|65605|11123|15223|11326|5257
8|1|17100|127|157822|174922|31402|61613|28610|12542|8445|5567|9516
28|7|9367|118|176435|185802|63206|52060|37827|6450|6334|4373|6067
30|7|5147|40|151148|156295|51748|57189|18691|8934|4298|2942|7306
15|23|8365|59|179619|187984|40511|74622|34440|10943|9404|3397|6243
25|3|13304|87|138678|151982|42469|61883|13762|4565|2873|2352|10687
19|11|4213|75|148372|152585|55924|56456|12069|7640|6467|2338|7403
27|4|4960|63|173483|178443|7859|46383|83758|7271|13492|11676|2981
21|13|4346|63|124125|128471|40878|39303|18270|7414|8634|4408|5155
21|14|5239|52|121080|126319|18380|43453|25954|8502|9822|5298|9619
15|28|6241|234|243278|249519|56660|95916|45090|16796|8580|7809|12193
11|11|6285|26|139186|145471|58405|52359|11092|10109|2945|1296|2954
9|20|6103|187|177681|183784|31306|34294|63903|10296|19055|11921|6719
21|9|5817|112|168282|174099|59838|30253|33283|9386|13035|9024|13351
9|22|4792|142|148624|153416|12742|23855|66529|9215|18787|12537|4817
25|8|11589|155|120004|131593|43898|40897|13731|5744|4875|3409|7295
32|2|5587|40|150832|156419|39309|63826|22102|12498|4967|2160|5930
9|19|4663|110|150450|155113|14739|23919|68460|8409|17597|12358|4858
30|11|4411|82|175509|179920|22405|69625|56716|9845|8073|6494|2269
30|8|6149|103|192309|198458|67262|60186|36930|9513|7750|6296|4269
12|2|11207|125|149712|160919|24224|49161|52566|7051|7353|4207|5025
14|5|6319|92|175231|181550|47488|60103|18010|8616|5198|29057|6667
14|11|5570|117|155047|160617|39737|56744|10974|11721|4665|26369|4720
2|1|3863|64|134291|138154|45674|46474|16424|9977|3663|3620|8395
15|19|4410|137|155974|160384|35578|50635|40797|10388|8065|5698|4676
5|6|11884|128|178282|190166|76662|50925|27487|4619|6648|4107|7706
28|1|10678|98|161520|172198|76341|48588|16278|3800|3063|2313|11039
15|35|5981|77|160101|166082|28060|70134|30406|9417|8059|7355|6593
7|12|8278|103|144552|152830|44963|40717|17849|21550|5594|3178|10598
19|5|3963|87|120096|124059|36483|52696|7257|7537|10666|1639|3731
6|2|3892|42|129131|133023|50441|55882|9311|6939|3074|1630|1812
19|6|4690|175|143664|148354|69544|43480|10722|6074|5836|2180|5653
15|31|3677|134|131047|134724|12446|40910|48994|8210|7354|8917|4082
19|9|7196|44|175735|182931|46371|81235|6762|7253|11696|1437|20937
9|24|7051|256|184988|192039|51201|34933|62541|8461|14036|9228|4332
28|3|12630|111|209086|221716|78708|75778|29775|5840|7376|4018|7480
9|14|5606|158|164008|169614|21860|27657|69417|9876|17842|11992|5206
25|1|10348|38|124187|134535|51234|53849|9663|2141|1581|1032|4649
30|10|7366|206|173944|181310|45813|35833|56543|7777|10605|8624|8543
24|6|9094|454|152376|161470|57760|39561|22019|13057|5459|5229|8837
14|18|6570|66|175911|182481|63206|59769|14760|7253|2797|16841|11219
24|7|21089|300|155852|176941|51610|52484|21621|6735|7283|8159|7660
5|4|12456|84|142803|155259|48361|61539|13883|5660|4219|2399|6658
23|1|7191|186|235856|243047|44606|78516|64589|19414|12066|8739|7740
10|4|11033|97|169106|180139|42041|63168|14617|3854|36885|3870|4574
30|18|7151|89|164713|171864|44762|59420|39073|9505|5046|4075|2743
7|11|10667|56|160037|170704|30032|46115|30988|38134|9205|2804|2703
7|1|11562|36|186012|197574|25459|47135|39133|54126|12618|4606|2899
31|2|5547|53|205058|210605|78022|92648|12820|12248|3100|1836|4331
14|3|7312|191|163842|171154|67195|64273|4485|9029|1579|13614|3476
11|1|6875|73|123899|130774|49054|46029|9191|10196|2491|1306|5559
4|2|7036|69|172246|179282|58087|67451|19134|10698|6075|5570|5162
25|5|13354|191|159156|172510|35082|69977|23544|4523|6188|4583|15068
16|12|9366|61|102297|111663|20953|42262|27905|3463|3757|2069|1827
31|1|3922|45|196400|200322|80133|89855|12078|7127|1725|1005|4432
20|6|10256|95|116944|127200|14456|29328|43257|5053|10055|11781|2919
15|29|3405|104|132355|135760|13981|44229|44933|8847|7597|8675|3989
12|5|11046|39|156185|167231|15558|48084|59804|2370|17312|10763|2255
2|3|3684|73|143431|147115|33779|51965|30202|9207|8695|4549|4961
13|4|10665|67|135578|146243|42437|51783|20897|7232|4156|2349|6657
9|15|9263|247|233025|242288|86764|44238|61195|10255|15395|9567|5364
30|13|5538|64|179074|184612|90306|52955|17370|8903|3566|3408|2502
15|3|6560|77|146438|152998|35633|71458|13628|10292|3231|5425|6694
19|4|4304|93|159380|163684|87279|36031|13342|6686|6536|2274|7139
15|39|4952|143|165257|170209|14626|58927|53138|12953|8468|10202|6800
13|3|12246|53|166094|178340|20722|64310|37598|8586|9940|4529|20356
20|7|11436|40|140488|151924|19921|59087|43706|2607|8936|4796|1395
9|1|4486|103|136507|140993|15423|22820|60977|8169|14650|10026|4339
30|17|6155|76|191029|197184|83846|60938|23063|9701|5279|3953|4173
21|10|6200|123|163154|169354|66059|33396|27504|9087|11728|7287|7970
3|1|9494|72|105528|115022|42876|34161|12627|2222|5511|3516|4543
17|3|7943|179|163209|171152|28421|40043|48355|17297|10219|9631|9064
22|2|11148|176|199550|210698|74117|65946|20298|12970|6491|4944|14608
14|9|6280|140|155747|162027|41773|55469|11589|11506|5391|24861|5018
8|7|14831|98|139687|154518|32205|66539|17776|6839|5346|3097|7787
9|11|5236|193|155206|160442|24885|29944|62622|8815|13762|10012|4973
32|3|6249|159|156839|163088|29181|69954|22273|15246|9108|3518|7400
9|2|6224|193|173452|179676|45890|34123|55751|9500|13726|9192|5077
15|13|3917|123|143128|147045|19640|50647|41705|11133|8321|6474|5085
15|7|5640|195|196925|202565|54037|58172|46226|11934|11503|7340|7518
15|4|5339|110|193192|198531|41881|63947|46023|13665|9235|10779|7552
2|8|3879|141|178538|182417|49460|54766|36883|13325|8677|7772|7514
11|14|7031|42|133428|140459|50059|37287|21886|10482|3075|6803|3794
15|15|5634|130|171320|176954|61417|47202|34147|9814|7391|5532|5687
3|2|11389|106|122923|134312|45484|41909|16429|4442|5197|4344|5012
28|2|10631|71|161440|172071|61034|57646|20006|6208|5683|3919|6873
2|4|3558|55|154169|157727|41986|42912|28713|11161|12730|5949|10663
11|4|9126|116|161472|170598|65076|59340|12116|12273|3319|2495|6737
11|2|8380|59|131950|140330|58328|41958|10863|9553|2550|2638|6001
15|40|6200|116|158962|165162|33958|72238|25073|10177|6869|4412|6119
30|15|6084|92|177111|183195|47736|75944|29342|10155|6110|4291|3441
14|4|6583|207|171161|177744|47984|64689|11684|12383|4574|23822|5818
21|4|7971|20|146906|154877|34363|51544|21520|8813|10599|3630|16417
16|2|13488|83|121284|134772|23861|42761|35809|5460|5750|3572|3988
5|5|13248|81|162339|175587|56722|64924|20035|6115|5640|3216|5606
12|1|9155|87|140248|149403|8851|54447|60187|4269|3941|7031|1435
2|7|4258|93|166251|170509|47494|59830|26157|13697|7408|4941|6631
24|4|14098|68|128872|142970|36935|44960|15798|9054|6497|7728|7832
15|32|3940|76|138232|142172|12882|44778|48155|9963|8055|9253|5070
19|12|8305|203|265712|274017|85522|113074|23377|12995|14492|3592|12457
15|34|5721|152|179748|185469|49813|75956|26135|11715|4863|3492|7622
21|12|6144|152|178258|184402|58671|38613|34853|10302|13126|8418|14123
20|4|10333|93|116202|126535|25888|32092|33602|4996|7965|4725|6841
19|3|4237|86|179433|183670|72940|71417|12383|8532|6925|2184|4966
21|3|6393|53|143407|149800|51714|44552|16935|9844|9517|4287|6505
9|4|5154|158|161240|166394|23989|26869|64720|9253|19072|12064|5115
7|2|9369|60|150406|159775|15565|55759|35156|28865|7141|1747|6113
20|9|11280|142|132111|143391|34460|35228|38494|6394|6849|5894|4650
2|5|3458|124|140813|144271|48353|36818|27381|10276|6751|5650|5460
16|8|8386|139|138355|146741|33222|58750|20880|12983|3904|3704|4773
16|1|10186|65|114266|124452|16865|47214|35401|3504|5218|3266|2733
27|5|6176|41|184391|190567|16242|61914|81957|5798|9606|6228|2605
26|1|9480|50|139093|148573|67041|51038|10894|2852|2936|1883|2399
20|8|12010|278|167052|179062|38898|39625|50527|10710|9944|9720|7350
30|6|4148|45|138886|143034|39266|47558|28711|6850|6010|6696|3750
21|7|5406|53|134908|140314|25751|36821|27083|9790|10927|5566|18917
16|11|12921|85|122788|135709|20541|39649|43798|5915|5582|3629|3589
26|5|7770|111|133858|141628|70395|46846|8315|1635|2729|1651|2176
