ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
15|8|3759|85|134963|138722|21344|41259|32819|4185|3012|3722|6698|11936|7354|1787|553|209
2|1|3863|64|134291|138154|45674|41297|14489|4800|1838|2091|8395|10354|3801|964|371|153
15|19|4410|137|155974|160384|35578|44450|36728|4204|4118|2508|4676|12369|8564|1970|458|214
25|4|9633|22|115892|125525|14806|39659|20149|3363|1140|883|32270||2300|964|289|47
19|6|4690|175|143664|148354|69544|40924|9684|3518|4777|1403|5653|5112|2011|648|85|130
15|37|4439|133|161338|165777|28151|47177|37546|4848|4257|7669|8058|12690|8095|1638|745|331
11|13|6855|57|143974|150829|61420|27771|22932|10578|2063|1548|9523|5136|1892|753|208|93
14|5|6319|92|175231|181550|47488|55663|15556|4176|2790|26488|6667|8880|5155|577|895|804
7|8|15423|88|162425|177848|10729|40605|19223|71823|5767|1389|6737||3301|2460|188|115
24|3|16306|55|135429|151735|49803|57693|7665|4292|6603|2310|4183||1749|733|148|195
4|1|17521|156|181867|199388|50465|83741|14970|4230|2579|5533|14355||4109|906|345|478
15|10|5014|144|185934|190948|28564|56037|44915|7158|4063|3495|7219|18188|12297|2908|696|250
15|21|4310|115|146841|151151|45188|43720|24714|4064|3098|1983|4501|11889|5540|1555|295|179
30|20|5038|32|147793|152831|55860|51767|15075|2746|3256|1701|2339|9875|3545|1296|205|96
9|6|5488|181|163616|169104|22278|27809|59718|5182|6502|4528|5468|8829|18207|3614|885|415
14|3|7312|191|163842|171154|67195|60410|4040|5166|1122|13141|3476|7726|846|148|179|202
5|3|11388|91|167136|178524|69680|58396|15994|8806|3400|2042|4319||3202|869|189|148
30|15|6084|92|177111|183195|47736|70146|26200|4358|3064|2051|3441|11595|5943|1966|355|164
5|7|9831|68|136024|145855|54143|52272|10764|3736|2502|1145|8353||2194|639|119|89
15|2|5242|114|173297|178539|39876|56171|31847|5108|3441|8509|6765|12561|6880|1336|484|205
31|2|5547|53|205058|210605|78022|88781|12014|8382|2320|1271|4331|7733|1435|541|111|64
12|2|11207|125|149712|160919|24224|49161|49094|7051|4043|1856|5025||6068|2406|492|167
7|1|11562|36|186012|197574|25459|44134|34591|51125|8139|2064|2899|6002|6797|4211|339|216
4|2|7036|69|172246|179282|58087|60323|16625|3571|3544|3638|5162|14255|4694|1543|343|392
14|11|5570|117|155047|160617|39737|50721|9005|5699|2718|24314|4720|12045|4378|405|615|573
21|16|14590|48|118730|133320|26561|48693|11601|2636|5313|1316|17114||3429|1653|188|178
30|14|4444|88|150491|154935|37699|56787|28308|2948|2651|1660|1923|9671|6399|1888|346|123
7|3|13450|42|158031|171481|23339|39661|25613|46838|3522|1468|12600||3111|1601|157|79
