ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PANAL|PRI_PVEM|PRD_PT_MC
15|28|4458|168|246339|250797|48878|5932|113171|78190
9|17|4172|152|207183|211355|45083|4058|58917|98973
5|2|3302|49|176206|179508|62613|3619|76201|33724
16|6|4333|108|131758|136091|28699|3293|62711|36947
11|13|4659|33|147638|152297|61545|5587|49763|30710
15|36|5481|34|163846|169327|34717|1514|77854|49727
14|19|4937|37|171603|176540|49359|5689|71880|44638
14|15|4626|39|163671|168297|55534|3455|72787|31856
15|34|3231|91|182802|186033|45174|5314|89946|42277
26|7|4806|24|158103|162909|51369|1525|61202|43983
14|4|3666|125|175601|179267|53952|5150|72868|43506
22|3|4484|114|209797|214281|78593|5359|71090|54641
19|7|2419|46|126701|129120|50994|3131|41963|30567
30|6|3468|14|142607|146075|45463|2152|53136|41842
17|5|4785|39|155326|160111|25429|3849|54837|71172
31|3|4237|78|217711|221948|79663|4906|83265|49799
25|6|4219|46|133980|138199|40415|2994|65021|25504
11|12|4660|67|162962|167622|72168|4973|61017|24737
9|3|3384|166|186237|189621|34557|3519|50203|97792
12|3|4470|10|149690|154160|10226|2534|61852|75068
9|8|3558|161|190364|193922|35461|3657|54847|96238
19|6|2300|63|147358|149658|70586|3554|40152|33003
2|8|2915|51|182768|185683|45884|5521|66224|65088
9|25|3002|97|167230|170232|21229|2939|39137|103828
12|8|8128|36|146258|154386|25889|1305|49287|69741
13|6|3031|76|185150|188181|42555|8593|66972|66954
24|3|7032|37|146294|153326|50983|3101|68597|23576
11|2|5712|31|137790|143502|57670|4915|55266|19908
15|40|4472|64|161296|165768|34008|3644|87408|36172
11|1|5350|44|126551|131901|49400|4099|57704|15304
15|32|2856|44|140066|142922|14479|3406|57930|64207
19|11|2856|55|151197|154053|59312|5128|49460|37242
9|15|4517|337|239802|244319|77750|3626|62021|96068
15|38|3552|96|169365|172917|21723|3946|66996|76604
15|3|5090|26|148178|153268|28570|3068|91837|24677
5|3|3187|38|176847|180034|73490|3149|68291|31879
15|35|3920|39|164614|168534|27717|4708|83097|49053
7|11|7657|22|163912|171569|30010|1560|79166|53154
17|2|4011|71|173233|177244|35282|4554|63775|69551
11|8|5438|58|181642|187080|78546|7019|69302|26717
20|1|3404|18|150946|154350|42493|1802|51177|55456
30|3|3586|43|145604|149190|49481|2812|62909|30359
10|3|3379|23|164485|167864|44903|2979|89660|26920
14|12|6799|96|254635|261434|77416|7685|101955|67483
21|14|4310|32|123440|127750|20783|1977|52420|48228
17|3|3817|69|169361|173178|26634|4107|58636|79915
21|1|7278|55|159685|166963|39148|2775|62709|54998
7|9|5708|85|163328|169036|24574|3368|59172|76129
9|22|3293|69|150034|153327|13571|2791|35622|97981
30|13|4285|32|181810|186095|80792|2221|61764|37001
5|5|3590|53|171384|174974|56466|3905|73938|37022
20|11|4044|23|151011|155055|18574|1161|57506|73747
23|3|2443|117|132226|134669|37709|2821|35590|55989
16|1|2847|28|123861|126708|19144|1726|51997|50966
7|10|7712|12|155873|163585|34245|4430|73934|43252
16|12|2645|26|109732|112377|20800|1442|51927|35537
21|12|3138|83|183733|186871|56218|4569|48279|74584
19|8|2625|41|154866|157491|64409|5042|47783|37591
2|7|3110|68|169407|172517|46182|4506|70333|48318
30|1|3274|30|137863|141137|51644|1747|61091|23351
15|26|3688|88|188763|192451|46677|5763|96433|39802
28|1|3909|66|171750|175659|86822|5386|53833|25643
9|1|2820|61|139254|142074|15805|2741|33205|87442
20|8|2564|62|179767|182331|36385|3376|55118|84826
8|3|2468|112|130886|133354|36824|5375|46611|41964
13|7|3569|51|184781|188350|34805|9022|81019|59884
15|9|6292|29|177152|183444|29461|3942|104563|39157
14|7|4534|85|161504|166038|45989|5480|71939|38011
29|3|3647|26|161941|165588|28922|4745|56073|72175
24|4|5725|44|139223|144948|39741|2982|58231|38225
15|37|2686|103|163687|166373|26715|4472|68959|63438
16|9|3923|70|142213|146136|26978|3692|64802|46671
9|13|3001|208|158371|161372|24943|3147|43289|86784
31|4|3817|75|201885|205702|77645|4514|77718|41933
15|30|2633|101|136258|138891|15819|3096|50560|66682
15|8|2467|66|136914|139381|22037|3670|57339|53802
27|6|5091|76|199578|204669|12013|1171|63875|122443
30|7|4275|24|154295|158570|52954|3175|59178|38964
17|4|4158|34|153458|157616|23369|2626|60291|67138
14|2|4695|36|163319|168014|65864|3716|75771|17932
14|9|3583|79|159314|162897|47167|5019|64932|42117
15|6|3004|110|198578|201582|36665|5621|76911|79271
15|10|3625|113|187705|191330|27954|5089|79058|75491
9|14|3251|84|166795|170046|20776|2824|38862|104249
15|4|4072|98|196554|200626|39167|5423|80430|71436
2|5|2263|84|146530|148793|44030|4056|47565|50795
9|12|3490|212|176712|180202|32344|3238|52877|88041
23|2|3781|32|154446|158227|23800|3140|63468|64006
30|20|4197|15|151251|155448|53581|1474|60268|35913
11|10|4894|42|145981|150875|61759|4596|55917|23667
12|4|3346|26|148253|151599|19449|2736|50549|75493
30|2|5297|30|171832|177129|64277|1550|73267|32708
31|5|5029|13|209629|214658|82542|1859|93318|31897
14|1|5272|43|168976|174248|48956|5089|80659|34229
14|16|4205|70|176465|180670|55174|5486|73583|42152
32|3|4157|55|161835|165992|27842|5515|85951|42472
25|2|3962|46|169458|173420|51704|3237|69819|44652
19|1|2950|66|170666|173616|85121|4717|46089|34673
11|3|4647|84|192032|196679|89266|4697|80560|17425
8|2|2936|25|85391|88327|17778|3140|40841|23607
24|2|6650|60|153888|160538|48078|5945|62209|37596
12|7|4292|33|158131|162423|15783|2644|63447|76224
9|2|3435|165|178632|182067|41352|3348|48149|85618
25|5|3299|195|171186|174485|36299|3112|81533|50047
12|9|4008|22|138021|142029|18178|2326|50044|67451
30|8|4242|52|196382|200624|65914|2724|63817|63875
11|9|4220|68|164696|168916|67099|4092|74210|19227
16|3|3955|45|124822|128777|21726|2197|59378|41476
14|3|5390|72|166827|172217|66134|3810|79617|17194
3|1|2265|32|115154|117419|35090|2339|50247|27446
15|19|2980|100|158066|161046|32901|3687|60081|61297
21|6|3783|73|176683|180466|49069|4995|49665|72881
26|1|3384|29|146788|150172|54118|2298|64691|25652
15|17|3078|102|155837|158915|21296|4399|62205|67835
12|6|6105|29|161199|167304|16968|2645|69090|72467
7|3|8882|40|164179|173061|23662|10426|85138|44913
19|9|6173|25|177574|183747|53817|11254|83344|29134
10|1|3494|42|146229|149723|38438|2832|80536|24381
21|4|6766|17|149038|155804|35473|3542|65211|44795
20|9|4113|62|141853|145966|31821|2415|49317|58238
9|26|3972|204|201039|205011|45837|3341|53037|98620
