ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
19|7|2419|46|126701|129120|50994|37490|19682|4473|7740|3145|3131
30|6|3468|14|142607|146075|45463|46666|30870|6470|5434|5538|2152
17|5|4785|39|155326|160111|25429|45693|48995|9144|12910|9267|3849
16|11|4835|76|131737|136572|21839|46854|42403|7807|5830|4124|2804
22|3|4484|114|209797|214281|78593|63248|40622|7842|7555|6464|5359
13|1|7578|35|163502|171080|29982|70726|42253|5001|5969|3572|5964
28|2|3701|47|172558|176259|70252|50546|28458|6523|7256|5579|3897
21|7|4078|19|136793|140871|26589|42290|34576|9471|13306|7319|3223
14|15|4626|39|163671|168297|55534|64314|17633|8473|6059|8164|3455
26|7|4806|24|158103|162909|51369|54763|35104|6439|5225|3654|1525
15|3|5090|26|148178|153268|28570|81934|16786|9903|3415|4476|3068
11|1|5350|44|126551|131901|49400|49253|11445|8451|2486|1373|4099
14|12|6799|96|254635|261434|77416|86602|27614|15353|8537|31332|7685
21|14|4310|32|123440|127750|20783|44309|30872|8111|10902|6454|1977
17|3|3817|69|169361|173178|26634|47114|56297|11522|12539|11079|4107
10|3|3379|23|164485|167864|44903|80308|13842|9352|10181|2897|2979
16|12|2645|26|109732|112377|20800|46169|29111|5758|3992|2434|1442
21|12|3138|83|183733|186871|56218|39646|47566|8633|15913|11105|4569
19|8|2625|41|154866|157491|64409|42358|24651|5425|8984|3956|5042
2|7|3110|68|169407|172517|46182|59427|33872|10906|8256|6190|4506
7|10|7712|12|155873|163585|34245|39254|31634|34680|7190|4428|4430
16|9|3923|70|142213|146136|26978|55579|36700|9223|5845|4126|3692
9|13|3001|208|158371|161372|24943|36180|61014|7109|14652|11118|3147
31|4|3817|75|201885|205702|77645|69516|32105|8202|5006|4822|4514
15|30|2633|101|136258|138891|15819|43310|49182|7250|9042|8458|3096
15|8|2467|66|136914|139381|22037|48554|39715|8785|7258|6829|3670
27|6|5091|76|199578|204669|12013|56637|96204|7238|13596|12643|1171
30|7|4275|24|154295|158570|52954|51293|28917|7885|5617|4430|3175
30|20|4197|15|151251|155448|53581|53133|25714|7135|5925|4274|1474
20|8|2564|62|179767|182331|36385|47339|61301|7779|11571|11954|3376
15|37|2686|103|163687|166373|26715|58756|44950|10203|8790|9698|4472
12|7|4292|33|158131|162423|15783|53450|56554|9997|8378|11292|2644
19|3|2783|54|181797|184580|76456|49549|28277|6577|11096|4245|5543
15|23|6647|34|182228|188875|40210|86543|31109|11056|7039|2791|3446
25|5|3299|195|171186|174485|36299|70388|36108|11145|7395|6544|3112
12|9|4008|22|138021|142029|18178|40935|46344|9109|9047|12060|2326
11|14|5307|23|137043|142350|50456|45177|20562|8767|3158|5597|3303
26|4|6203|63|155431|161634|44528|54402|33686|5969|8438|6021|2324
9|2|3435|165|178632|182067|41352|40829|60192|7320|14595|10831|3348
3|2|2915|63|134365|137280|40464|47329|23953|7683|6504|5734|2635
22|1|7704|34|198159|205863|56049|90676|25519|10227|5182|5929|4543
24|6|4220|154|158042|162262|55533|40037|32732|9181|7123|6102|7180
9|27|2725|90|156772|159497|15665|35121|66742|7487|16273|12281|3113
12|6|6105|29|161199|167304|16968|60881|50538|8209|10547|11382|2645
7|3|8882|40|164179|173061|23662|42278|34507|42860|6747|3659|10426
19|9|6173|25|177574|183747|53817|76184|14563|7160|11893|2678|11254
10|1|3494|42|146229|149723|38438|72624|9943|7912|12040|2398|2832
21|4|6766|17|149038|155804|35473|56559|28071|8652|12118|4606|3542
21|6|3783|73|176683|180466|49069|39862|45723|9803|16021|11137|4995
15|17|3078|102|155837|158915|21296|52230|49273|9975|9990|8572|4399
14|13|3273|133|169855|173128|54552|56384|20926|9579|6531|16858|4892
4|1|4707|56|197009|201716|55132|72604|33762|10235|7571|11002|6647
9|4|3014|109|164219|167233|23252|32098|65527|6572|19944|13710|3007
18|3|4087|46|160241|164328|35106|72257|26967|8422|9338|5605|2500
21|8|3601|31|128174|131775|26045|38948|30767|8852|14473|7108|1950
15|22|2498|87|134508|137006|39426|42864|30683|7278|6773|4719|2678
10|2|3234|68|182507|185741|54686|71638|28660|10105|7926|5163|4261
28|4|3602|41|157875|161477|61298|52548|22462|7329|5595|4699|3903
15|24|2565|78|125577|128142|25047|45330|31959|8223|6816|5220|2904
20|10|5290|55|126585|131875|30983|33262|37230|12187|6726|4980|1162
11|5|4419|79|193952|198371|94510|66209|12769|11882|2221|1676|4606
15|27|3511|116|190208|193719|45115|83866|30299|10912|10125|4663|5112
16|8|4453|417|143433|147886|28111|60128|29637|10706|5131|5178|4125
15|25|2960|65|142440|145400|18414|51781|42169|10588|8617|7267|3539
9|19|3052|73|153051|156103|16219|30484|64850|6865|18012|13716|2832
16|4|3594|34|132769|136363|37734|50122|28765|6805|3781|3152|2376
6|2|3118|42|132272|135390|45955|50702|19859|6055|4606|3157|1896
9|24|3482|211|189893|193375|46741|42435|64935|6581|15158|10698|3134
24|5|3809|154|164755|168564|65974|41792|30523|8572|6717|5555|5468
5|1|2897|40|151085|153982|57491|58349|17275|6916|4444|3306|3264
1|2|4993|191|176621|181614|50467|59261|29957|9348|8278|6772|12347
28|5|3394|52|177453|180847|59608|64479|26071|7427|9543|5679|4594
15|5|4003|65|207843|211846|35412|82747|52032|11671|11231|10387|4298
2|4|2622|42|158669|161291|39365|46952|37360|8729|13287|7462|5472
16|7|3897|49|134755|140081|27269|48956|39933|7247|6476|3851|2403
20|5|2530|35|135861|138391|21440|44485|50903|4280|7321|6243|1154
5|7|2661|59|144986|147647|59765|48678|18801|5785|4687|3076|4135
15|21|2935|109|148830|151765|42553|49495|33363|8549|6670|4831|3260
28|6|3423|26|165072|168495|68388|65811|15681|6485|3534|2713|2434
30|21|4312|21|166171|170483|39881|56011|49845|6584|6874|5556|1399
20|2|4211|46|132314|136525|22387|48434|40047|4000|6190|10547|663
19|4|2641|56|161843|164484|78848|35363|25185|4838|9037|3554|4962
13|4|4277|30|144597|148874|29713|54651|35718|7129|6632|4455|6269
15|29|2609|76|134176|136785|15589|44335|46232|7595|8550|8812|2987
9|23|3664|147|192323|195987|32245|34521|82701|5976|19331|14469|2933
13|3|3874|35|174993|178867|23816|70209|45542|8238|11646|6296|9211
12|8|8128|36|146258|154386|25889|38617|55680|10670|9709|4352|1305
13|6|3031|76|185150|188181|42555|57804|48029|9168|10599|8326|8593
5|5|3590|53|171384|174974|56466|65388|26179|8550|6596|4247|3905
23|3|2443|117|132226|134669|37709|29612|43218|5978|7112|5659|2821
26|5|2964|56|141019|143983|56020|45708|22779|5409|5117|3577|2353
15|31|2855|94|132287|135142|14466|42733|47852|7203|8053|8647|3239
9|15|4517|337|239802|244319|77750|54121|68501|7900|16452|11115|3626
15|38|3552|96|169365|172917|21723|56350|46350|10646|9576|20678|3946
15|20|2330|112|137041|139371|19299|42962|46455|7502|8886|8899|2926
15|10|3625|113|187705|191330|27954|65603|55047|13455|10919|9525|5089
30|9|5217|18|171702|176919|56831|51067|40051|7283|7473|5621|3358
23|2|3781|32|154446|158227|23800|54880|46126|8588|11630|6250|3140
15|26|3688|88|188763|192451|46677|83467|29916|12966|5771|4115|5763
9|18|2896|103|155348|158244|19917|35729|60604|7679|15841|12329|3146
14|5|4798|79|179776|184574|49795|60374|27237|7753|7030|22979|4529
9|22|3293|69|150034|153327|13571|28751|64646|6871|19265|14070|2791
30|13|4285|32|181810|186095|80792|53916|27396|7848|4733|4872|2221
20|11|4044|23|151011|155055|18574|51716|58873|5790|8598|6276|1161
16|1|2847|28|123861|126708|19144|45971|40340|6026|6219|4407|1726
24|7|10869|56|166997|177866|45355|61492|29030|9668|8378|8204|4814
9|16|4029|152|189386|193415|34675|39225|72644|8071|17432|13454|3733
7|2|6533|27|153723|160256|17823|57011|38515|26260|8140|2294|3653
20|3|3502|35|147167|150669|24304|49758|46216|7085|8984|8658|2127
