ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
15|28|4458|168|246339|250797|48878|84688|51506|2363|3912|3590|5932|26120|15051|2670|1011|450
9|17|4172|152|207183|211355|45083|41432|59544|2375|5753|3152|4058|15110|24466|4582|986|490
5|2|3302|49|176206|179508|62613|64158|20916|2182|3454|2013|3619|9861|5504|1285|349|203
16|6|4333|108|131758|136091|28699|46299|24392|2532|1951|1239|3293|13880|6370|2357|523|115
11|13|4659|33|147638|152297|61545|35716|22751|5838|1834|1302|5587|8209|3518|874|313|118
15|36|5481|34|163846|169327|34717|67763|40450|989|2414|647|1514|9102|3250|2650|246|70
14|19|4937|37|171603|176540|49359|58898|24807|2441|2921|9449|5689|10541|5158|967|733|603
14|15|4626|39|163671|168297|55534|58562|15735|2722|4023|6247|3455|11503|3829|740|502|780
15|34|3231|91|182802|186033|45174|69899|29661|1677|2555|1496|5314|18370|6462|1593|367|143
26|7|4806|24|158103|162909|51369|49330|31699|1007|2011|1352|1525|10865|5927|2339|517|138
14|4|3666|125|175601|179267|53952|54701|17661|2249|3376|12173|5150|15918|7983|697|975|641
22|3|4484|114|209797|214281|78593|57174|37059|1768|4128|3380|5359|12148|8070|1216|530|258
19|7|2419|46|126701|129120|50994|33845|17369|829|5461|1235|3131|7289|5006|1011|275|210
30|6|3468|14|142607|146075|45463|42861|27708|2665|2460|3061|2152|7610|6441|1513|516|143
17|5|4785|39|155326|160111|25429|40827|42890|4278|7109|4310|3849|9732|12744|2699|1013|407
31|3|4237|78|217711|221948|79663|66019|33932|1749|3195|3050|4906|15497|7549|1246|577|250
25|6|4219|46|133980|138199|40415|54144|17667|1270|1709|1221|2994|9607|3748|828|235|96
11|12|4660|67|162962|167622|72168|46066|16355|2890|1878|1768|4973|12061|3869|530|236|101
9|3|3384|166|186237|189621|34557|35737|58075|1418|5605|3978|3519|13048|24773|3627|1160|574
12|3|4470|10|149690|154160|10226|50324|54758|1492|2252|3419|2534|10036|10055|3400|954|230
9|8|3558|161|190364|193922|35461|38969|56757|1537|6517|4305|3657|14341|23594|3403|1075|587
19|6|2300|63|147358|149658|70586|32136|19350|923|5622|1291|3554|7093|5240|1065|236|199
2|8|2915|51|182768|185683|45884|48371|40127|2604|4390|4521|5521|15249|12070|2653|942|385
9|25|3002|97|167230|170232|21229|26694|58375|1585|6988|3722|2939|10858|27898|5084|1108|653
12|8|8128|36|146258|154386|25889|35889|51189|7942|5442|1612|1305|5456|7155|3631|579|133
13|6|3031|76|185150|188181|42555|50508|41528|1873|4276|2864|8593|14591|14679|2468|748|391
24|3|7032|37|146294|153326|50983|55587|11804|2310|5411|1771|3101|10700|3263|884|220|223
11|2|5712|31|137790|143502|57670|44417|13749|3351|1781|1659|4915|7498|1987|496|158|78
15|40|4472|64|161296|165768|34008|69855|23939|1745|4043|2040|3644|15808|4171|1522|281|176
11|1|5350|44|126551|131901|49400|45474|10632|4673|1701|774|4099|7557|1560|479|106|52
15|32|2856|44|140066|142922|14479|42110|40774|1725|2476|3511|3406|14095|13535|2638|1038|235
19|11|2856|55|151197|154053|59312|39115|21108|1481|6597|1539|5128|8864|5987|1478|293|240
9|15|4517|337|239802|244319|77750|47742|60968|1521|9073|4706|3626|12758|17092|2803|865|561
15|38|3552|96|169365|172917|21723|47747|39348|2044|2985|14341|3946|17205|15810|1987|1476|657
15|3|5090|26|148178|153268|28570|73668|15041|1637|1788|3026|3068|16532|3690|692|338|102
5|3|3187|38|176847|180034|73490|56863|19869|1636|3151|1668|3149|9792|5701|1050|282|158
15|35|3920|39|164614|168534|27717|66621|31673|1500|4282|3807|4708|14976|6694|1797|544|256
7|11|7657|22|163912|171569|30010|43051|33509|24399|6635|1644|1560|11716|6592|4219|385|170
17|2|4011|71|173233|177244|35282|46022|46520|3935|3537|2316|4554|13818|13479|2731|732|236
11|8|5438|58|181642|187080|78546|54765|17467|4413|2556|1732|7019|10124|3979|638|233|112
20|1|3404|18|150946|154350|42493|41670|33769|1934|3820|6609|1802|7573|8802|1509|688|259
30|3|3586|43|145604|149190|49481|49818|20327|2602|1766|1207|2812|10489|5515|1092|323|129
10|3|3379|23|164485|167864|44903|72723|11421|1767|7735|1138|2979|15170|4462|1620|246|298
14|12|6799|96|254635|261434|77416|75262|22393|4014|3560|25914|7685|22679|11822|842|1719|1233
21|14|4310|32|123440|127750|20783|37671|25171|1473|5292|2201|1977|13276|11403|3256|544|361
17|3|3817|69|169361|173178|26634|41138|49194|5546|5744|5110|4107|11952|15590|2730|1081|466
21|1|7278|55|159685|166963|39148|45920|29544|2236|7026|2657|2775|14553|11668|3077|655|371
7|9|5708|85|163328|169036|24574|25112|44620|14155|5021|3481|3368|19905|18153|3527|934|393
9|22|3293|69|150034|153327|13571|23352|51465|1472|6341|3379|2791|10798|29313|5641|1177|665
30|13|4285|32|181810|186095|80792|48084|24147|2016|1679|2171|2221|11664|7046|1254|545|159
5|5|3590|53|171384|174974|56466|59608|23186|2770|3668|1796|3905|11560|6541|1287|335|209
20|11|4044|23|151011|155055|18574|47973|54546|2047|4449|3328|1161|7486|7829|2917|516|162
23|3|2443|117|132226|134669|37709|25218|38238|1585|2365|1750|2821|8787|10443|2335|661|197
16|1|2847|28|123861|126708|19144|41290|35869|1345|1953|1201|1726|9362|8555|2677|560|151
7|10|7712|12|155873|163585|34245|34575|28103|30001|3770|1981|4430|9358|6503|2335|390|170
16|12|2645|26|109732|112377|20800|41879|26478|1468|1506|730|1442|8580|4499|1913|352|59
21|12|3138|83|183733|186871|56218|32581|39248|1569|7732|3939|4569|14129|19378|2872|844|571
19|8|2625|41|154866|157491|64409|38138|21800|1205|6135|1600|5042|8440|6299|1243|258|256
2|7|3110|68|169407|172517|46182|51129|29441|2608|3979|2560|4506|16596|9580|1882|591|285
30|1|3274|30|137863|141137|51644|48317|15763|1930|1367|961|1747|10844|4006|935|244|75
15|26|3688|88|188763|192451|46677|72621|26687|2121|2648|1534|5763|21691|6957|1452|368|156
28|1|3909|66|171750|175659|86822|42971|16408|1586|1577|1268|5386|9276|5123|822|314|131
9|1|2820|61|139254|142074|15805|22446|50051|1357|5105|2796|2741|9402|23590|4432|951|517
20|8|2564|62|179767|182331|36385|41582|54038|2023|4605|5721|3376|11513|16655|2445|975|387
8|3|2468|112|130886|133354|36824|35550|25983|1944|3222|2584|5375|9117|8230|1243|484|218
13|7|3569|51|184781|188350|34805|61391|36063|2519|4026|2801|9022|17109|13217|2683|766|328
15|9|6292|29|177152|183444|29461|82687|17722|2216|5688|7675|3942|19660|6016|1157|609|290
14|7|4534|85|161504|166038|45989|52730|14132|2721|3360|10474|5480|16488|7843|766|836|600
29|3|3647|26|161941|165588|28922|40673|39419|1909|5507|4136|4745|13491|18296|3490|926|401
24|4|5725|44|139223|144948|39741|45757|20207|2441|5034|5579|2982|10033|5049|1552|521|283
15|37|2686|103|163687|166373|26715|50186|39006|1634|3129|4544|4472|17139|13464|1962|949|384
16|9|3923|70|142213|146136|26978|49007|32996|2651|2305|1495|3692|13144|6950|2295|478|152
9|13|3001|208|158371|161372|24943|30329|51566|1258|5427|3272|3147|11702|21446|3676|922|475
31|4|3817|75|201885|205702|77645|62844|29421|1530|2447|2555|4514|13344|5886|1014|429|181
15|30|2633|101|136258|138891|15819|37323|42945|1264|3103|3340|3096|11973|13691|2494|851|258
15|8|2467|66|136914|139381|22037|41127|34544|1359|2295|2560|3670|14853|11437|2052|663|251
27|6|5091|76|199578|204669|12013|50836|85052|1437|3064|4233|1171|11602|22797|5675|1430|192
30|7|4275|24|154295|158570|52954|45580|25482|2172|2331|1727|3175|11426|7323|1576|412|113
17|4|4158|34|153458|157616|23369|46115|40497|4414|6300|5039|2626|9762|11619|2293|1004|386
14|2|4695|36|163319|168014|65864|58938|9375|3241|1093|4490|3716|13592|2161|346|287|180
14|9|3583|79|159314|162897|47167|47873|16799|2282|3300|11821|5019|14777|7764|738|990|705
15|6|3004|110|198578|201582|36665|55519|52521|1773|3361|2715|5621|19619|16577|2906|908|283
15|10|3625|113|187705|191330|27954|54393|46826|2245|3005|2760|5089|22420|18459|3217|918|306
9|14|3251|84|166795|170046|20776|26142|58851|1544|6538|3420|2824|11176|28699|5098|1095|548
15|4|4072|98|196554|200626|39167|58115|43291|1995|3651|4626|5423|20320|15704|2831|1025|308
2|5|2263|84|146530|148793|44030|34393|31565|1933|3702|3474|4056|11239|9217|1865|694|278
9|12|3490|212|176712|180202|32344|36549|51466|1559|6175|4056|3238|14769|21621|3184|997|542
23|2|3781|32|154446|158227|23800|48344|39951|2053|5616|1909|3140|13071|11689|3950|605|286
30|20|4197|15|151251|155448|53581|47826|22646|1828|2964|1973|1474|10614|6205|1658|339|128
11|10|4894|42|145981|150875|61759|41683|16359|7403|2373|1120|4596|6831|2908|651|170|86
12|4|3346|26|148253|151599|19449|33681|42437|2914|2600|7887|2736|13954|17760|2565|1876|368
30|2|5297|30|171832|177129|64277|62686|24928|3005|3071|697|1550|7576|2687|1107|174|44
31|5|5029|13|209629|214658|82542|80694|23112|2720|3230|1082|1859|9904|2765|1344|250|114
14|1|5272|43|168976|174248|48956|67355|17164|2216|3671|8360|5089|11088|3060|591|472|911
14|16|4205|70|176465|180670|55174|53803|15242|2699|2827|13104|5486|17081|8502|685|1113|679
32|3|4157|55|161835|165992|27842|63978|25109|3727|6368|1799|5515|18246|6417|2172|403|204
25|2|3962|46|169458|173420|51704|54921|29749|2007|2246|2111|3237|12891|8298|1493|560|195
19|1|2950|66|170666|173616|85121|37712|19833|1253|6010|1837|4717|7124|5488|1020|277|208
11|3|4647|84|192032|196679|89266|59157|12106|3566|1418|928|4697|17837|2338|433|143|59
8|2|2936|25|85391|88327|17778|30467|13328|2235|2477|1381|3140|8139|4788|1100|335|198
24|2|6650|60|153888|160538|48078|44897|22919|4687|3591|2184|5945|12625|6355|1656|491|400
12|7|4292|33|158131|162423|15783|47627|50548|4175|2803|6419|2644|11645|12347|2593|1185|329
9|2|3435|165|178632|182067|41352|34882|51661|1373|6249|3616|3348|11894|19633|3116|856|487
25|5|3299|195|171186|174485|36299|61466|31596|2224|3046|2625|3112|17843|10441|1461|600|278
12|9|4008|22|138021|142029|18178|34278|39029|2452|2408|5978|2326|13314|15245|2791|1673|327
30|8|4242|52|196382|200624|65914|50229|41935|2569|3870|3065|2724|11019|11446|2520|781|258
11|9|4220|68|164696|168916|67099|59217|12737|1935|1443|1219|4092|13058|3027|527|183|91
16|3|3955|45|124822|128777|21726|45190|27491|2227|3116|1194|2197|11961|6082|2957|450|186
14|3|5390|72|166827|172217|66134|66385|6628|3033|1071|6945|3810|10199|1841|250|251|208
3|1|2265|32|115154|117419|35090|38019|14385|1051|2393|2069|2339|11177|6709|1298|361|231
15|19|2980|100|158066|161046|32901|43458|39245|1400|3486|2081|3687|15223|13402|2191|624|268
21|6|3783|73|176683|180466|49069|31775|36882|1717|7285|3628|4995|16173|20399|3267|814|606
26|1|3384|29|146788|150172|54118|52494|17115|1552|2047|1355|2298|10645|3529|1174|315|117
15|17|3078|102|155837|158915|21296|43825|42228|1571|3179|2558|4399|16809|16394|2375|784|317
12|6|6105|29|161199|167304|16968|56922|46929|4251|7339|8856|2645|7917|5670|2401|1036|236
7|3|8882|40|164179|173061|23662|39542|31579|40123|3899|1722|10426|5473|5251|2086|267|109
19|9|6173|25|177574|183747|53817|70300|12917|1277|10229|1420|11254|11767|3163|996|185|224
10|1|3494|42|146229|149723|38438|66243|7870|1531|9908|867|2832|12762|3989|1342|143|262
21|4|6766|17|149038|155804|35473|49732|24126|1826|8219|1883|3542|13653|7138|2740|389|300
20|9|4113|62|141853|145966|31821|38127|39347|2349|3382|3248|2415|8841|9514|1972|587|188
9|26|3972|204|201039|205011|45837|39553|58190|1532|7553|3644|3341|11952|23168|4509|971|585
30|11|3585|59|180135|183720|31054|42629|62011|1474|2392|2312|2244|12715|18561|3525|956|203
5|4|3065|60|153962|157027|51325|54549|17773|1876|3005|1492|4998|12170|5130|1065|307|212
19|5|3317|31|121385|124702|36930|40772|12318|1338|10246|967|3075|9103|4790|1410|174|231
4|1|4707|56|197009|201716|55132|63916|29365|1548|3291|7052|6647|17375|9682|1499|838|608
10|4|3013|50|179025|182038|56214|53702|20533|1831|13193|2387|5346|13165|9334|2395|348|527
11|11|5105|17|141178|146283|50975|55069|12727|3521|2120|720|2594|10338|2178|740|127|52
31|2|4503|28|206787|211290|77080|80140|20749|6163|2808|1581|3403|10208|3384|853|262|128
26|3|2963|60|149019|151982|57429|42903|22650|1025|2571|1744|3115|10050|5941|952|355|224
14|5|4798|79|179776|184574|49795|54657|22911|2037|3016|18674|4529|11433|9367|912|1494|872
7|1|9622|19|190211|199833|23590|44016|41894|43837|8861|2400|1486|7451|10726|5166|504|261
8|1|3722|83|172523|176245|32439|57780|30609|4190|5053|2880|6956|17581|12058|1969|593|332
11|5|4419|79|193952|198371|94510|57934|11811|3608|1300|865|4606|16549|2112|363|144|71
13|2|4513|50|160760|165273|25788|59677|38767|2860|5034|1806|5503|9219|8503|2849|534|170
27|3|4570|12|182399|186969|6813|51353|86177|892|2233|1861|1036|8403|15942|6699|863|115
25|3|4112|48|149307|153419|37325|61754|21971|1667|1853|1602|2610|13500|5448|959|405|165
2|3|2947|62|147674|150621|33976|43005|33446|1951|5011|2485|3702|11624|9058|2451|616|287
20|3|3502|35|147167|150669|24304|44869|40959|2196|3950|4471|2127|9778|11138|2392|695|253
30|18|5831|30|167174|173005|47808|49272|42067|2605|2356|2411|1859|8999|6867|2265|509|126
15|39|3314|64|167683|170997|16789|52576|46820|1922|2828|4290|4164|18819|15363|2704|1029|315
