ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PVEM|PANAL|PRI_PVEM|PRD_PT_MC
15|1|6457|61|166300|172757|37172|||3839|95254|29974
30|13|5968|98|179884|185852|85071|||3173|63575|27967
30|1|4012|40|136112|140124|52383|||2115|63430|18144
8|5|13203|99|160321|173524|53717|71364|5616|8245||21280
18|3|13278|64|148759|162037|44720|62506|4274|7259||29936
14|2|6748|107|159465|166213|65424|||4515|71853|17566
15|2|5898|139|173007|178905|40296|||5634|73133|53805
30|14|4655|77|151088|155743|41076|||2244|62654|45037
9|17|7915|234|202385|210300|49747|||7621|52302|92481
12|2|11596|73|150073|161669|17047|54154|7309|4366||67124
15|27|6292|122|185164|191456|44832|||5280|93551|41379
15|17|4412|132|153627|158039|21179|||6857|61708|63751
31|5|12618|38|201785|214403|82787|88843|4339|2913||22865
14|4|6642|181|171121|177763|44491|||4842|81281|40326
11|13|11904|75|138831|150735|60743|30169|11266|7888||28690
11|2|13407|49|126907|140314|57837|39422|7895|5672||16032
17|1|15433|218|170906|186339|48346|42173|9358|5410||65401
21|3|6518|52|144073|150591|49885|||4698|58772|30666
15|15|5868|127|171371|177239|61380|||4686|56164|49014
25|8|11905|82|120373|132278|33304|37983|5868|19952||23184
15|24|3413|107|123758|127171|26166|||3661|53431|40393
15|10|5016|134|186767|191783|28073|||6748|81196|70616
18|1|10212|23|124645|134857|30058|55536|2660|6053||30315
14|10|8604|117|174811|183415|63972|||4113|64728|41881
30|12|4544|121|161030|165574|81355|||2948|43226|33380
7|7|7988|39|131728|139716|29558|||8781|61701|31649
3|2|10899|93|123148|134047|42876|46450|3402|3238||27089
15|3|6547|78|146888|153435|34150|||4382|85045|23233
15|28|6563|205|243062|249625|57944|||8099|108908|67906
15|32|3895|83|138181|142076|12455|||4657|55098|65888
20|5|8096|150|128604|136700|23696|40766|2493|1711||59788
21|4|8390|60|146612|155002|35794|||7290|64305|39163
9|1|4344|86|136352|140696|16403|||4220|30496|85147
5|7|10407|133|136114|146521|56625|49763|4437|5799||19357
5|2|11165|68|166318|177483|61098|66515|5237|5872||27528
7|10|11491|96|151938|163429|28986|||8242|84471|30143
15|34|5789|163|180234|186023|49189|||6486|87663|36733
9|16|7213|165|189131|196344|39252|||7114|44395|98205
26|5|7485|78|134617|142102|57402|55606|1436|1634||18461
9|21|5703|168|160171|165874|20022|||6164|42079|91738
16|8|18547|121|128254|146801|34635|49572|8767|4351||30808
20|2|8522|63|126599|135121|26098|44497|2478|1008||52455
16|4|11687|71|123741|135428|38533|43951|5412|3122||32652
8|3|10046|121|121116|131162|41605|34706|7155|6443||31086
9|19|4854|127|150522|155376|15788|||5024|33748|95835
9|24|7540|239|184408|191948|53106|||4517|42597|83949
19|12|15533|182|256949|272482|81167|116736|5966|12295||40603
9|14|5880|118|163943|169823|23498|||5170|36270|98887
