ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
15|1|6457|61|166300|172757|37172|83763|18184|11491|6202|5588|3839
30|13|5968|98|179884|185852|85071|54654|20149|8921|3974|3844|3173
30|1|4012|40|136112|140124|52383|55375|13491|8055|2745|1908|2115
8|5|13203|99|160321|173524|53717|71364|14667|5616|4205|2408|8245
18|3|13278|64|148759|162037|44720|62506|18201|4274|7762|3973|7259
14|2|6748|107|159465|166213|65424|59879|7920|11974|1675|7971|4515
15|2|5898|139|173007|178905|40296|61259|35811|11874|6564|11430|5634
30|14|4655|77|151088|155743|41076|54948|34491|7706|6247|4299|2244
9|17|7915|234|202385|210300|49747|38979|66844|13323|15292|10345|7621
12|2|11596|73|150073|161669|17047|54154|55038|7309|7638|4448|4366
15|27|6292|122|185164|191456|44832|81335|24591|12216|11731|5057|5280
15|17|4412|132|153627|158039|21179|49379|47161|12329|9032|7558|6857
31|5|12618|38|201785|214403|82787|88843|16877|4339|4516|1472|2913
14|4|6642|181|171121|177763|44491|68240|11921|13041|4681|23724|4842
11|13|11904|75|138831|150735|60743|30169|22957|11266|3215|2518|7888
11|2|13407|49|126907|140314|57837|39422|10763|7895|2496|2773|5672
17|1|15433|218|170906|186339|48346|42173|47688|9358|10091|7622|5410
21|3|6518|52|144073|150591|49885|47872|17170|10900|9262|4234|4698
15|15|5868|127|171371|177239|61380|46275|36044|9889|7449|5521|4686
25|8|11905|82|120373|132278|33304|37983|14544|5868|5281|3359|19952
15|24|3413|107|123758|127171|26166|43913|29672|9518|6279|4442|3661
15|10|5016|134|186767|191783|28073|64386|51938|16810|10202|8476|6748
18|1|10212|23|124645|134857|30058|55536|22123|2660|5249|2943|6053
14|10|8604|117|174811|183415|63972|52474|12438|12254|4492|24951|4113
30|12|4544|121|161030|165574|81355|36508|22260|6718|5021|6099|2948
7|7|7988|39|131728|139716|29558|32054|21298|29647|7434|2917|8781
3|2|10899|93|123148|134047|42876|46450|17188|3402|5468|4433|3238
15|3|6547|78|146888|153435|34150|74213|14489|10832|3332|5412|4382
15|28|6563|205|243062|249625|57944|91509|49778|17399|9598|8530|8099
15|32|3895|83|138181|142076|12455|44543|48379|10555|8149|9360|4657
20|5|8096|150|128604|136700|23696|40766|47200|2493|7004|5584|1711
21|4|8390|60|146612|155002|35794|54531|23415|9774|11753|3995|7290
9|1|4344|86|136352|140696|16403|22178|60500|8318|14709|9938|4220
5|7|10407|133|136114|146521|56625|49763|13234|4437|3877|2246|5799
5|2|11165|68|166318|177483|61098|66515|18937|5237|5442|3149|5872
7|10|11491|96|151938|163429|28986|37136|22182|47335|5133|2828|8242
15|34|5789|163|180234|186023|49189|75513|28138|12150|5130|3465|6486
9|16|7213|165|189131|196344|39252|32847|69471|11548|16829|11905|7114
26|5|7485|78|134617|142102|57402|55606|11852|1436|4364|2245|1634
9|21|5703|168|160171|165874|20022|31567|64278|10512|16724|10736|6164
16|8|18547|121|128254|146801|34635|49572|22828|8767|4160|3820|4351
20|2|8522|63|126599|135121|26098|44497|35795|2478|6326|10334|1008
16|4|11687|71|123741|135428|38533|43951|26583|5412|3470|2599|3122
8|3|10046|121|121116|131162|41605|34706|21424|7155|5354|4308|6443
9|19|4854|127|150522|155376|15788|24490|66213|9258|17542|12080|5024
9|24|7540|239|184408|191948|53106|34033|60635|8564|14245|9069|4517
19|12|15533|182|256949|272482|81167|116736|22585|5966|14412|3606|12295
9|14|5880|118|163943|169823|23498|26543|68940|9727|18010|11937|5170
20|10|10800|67|120201|131001|34077|28898|32456|11497|6644|4684|1878
21|1|9225|106|156980|166205|41433|53359|28178|11051|11854|5770|5229
11|10|11214|47|138038|149252|63094|36521|13140|13887|3713|2091|5545
5|3|11630|74|167065|178695|71554|60124|17346|5178|4816|2967|5006
9|7|5982|235|180355|186337|29795|37685|68573|11806|15502|11317|5442
30|15|8021|95|177016|185037|61504|53001|35989|9617|7106|5145|4559
11|11|13367|27|132119|145486|57822|49076|11371|6620|2987|1264|2952
17|3|12770|162|158260|171030|30757|38813|46435|15685|10050|9403|6955
15|36|6501|51|162092|168593|33780|68841|44789|6021|4986|1638|1986
10|3|14916|41|151613|166529|48114|77054|8806|3533|8785|1920|3360
15|26|5902|94|185501|191403|48822|80721|25473|14553|5382|3566|6890
12|9|14386|126|124136|138522|12069|36914|46668|4034|8055|13085|3185
7|5|11542|103|157073|168615|14283|60429|31638|38173|5570|3563|3314
12|1|9290|19|140047|149337|7404|56710|59537|4216|3763|7056|1342
13|1|13299|50|156723|170022|34500|67996|34481|2746|5437|2635|8878
10|1|12772|107|135856|148628|41360|69738|5701|2649|12484|1382|2435
16|9|15228|115|130150|145378|30869|45190|33025|7861|5643|3361|4086
31|4|14821|132|189595|204416|91125|68306|15025|4916|3089|2963|4039
12|8|13377|26|140463|153840|25043|37329|53377|10086|9023|3668|1911
21|6|6202|164|172812|179014|56752|39272|32703|11823|13944|8190|9964
2|4|12133|59|146071|158204|43579|37428|30505|6845|13426|6436|7793
10|0|54455|312|625122|679577|209239|288429|43280|14183|46297|9486|13896
21|0|99943|1432|2365588|2465531|701815|700560|403818|167369|183167|94165|113262
15|0|210565|5008|6656644|6867209|1317388|2409098|1590093|474948|327504|318626|213979
30|4|5044|76|166420|171464|87397|42301|18793|6821|4253|4202|2577
15|30|3563|102|134261|137824|14496|40331|49098|8990|8549|8773|3922
