ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
15|3|6655|79|147708|154363|34346|74516|14668|10854|3368|5456|4421
11|10|11404|66|139033|150437|63404|36786|13384|13950|3748|2116|5579
11|13|11997|76|139743|151740|61180|30332|23143|11298|3240|2554|7920
7|11|10466|55|161283|171749|29022|47447|30427|39737|9136|2710|2749
14|9|6207|107|156629|162836|40876|58419|11382|12093|5135|23747|4870
15|36|6551|52|162475|169026|33871|68948|44922|6033|5002|1646|2001
30|1|4083|40|136895|140978|52713|55583|13644|8089|2762|1931|2133
15|30|3827|103|135228|139055|14670|40587|49488|9014|8599|8815|3952
27|5|6000|82|186610|192610|15322|64787|82302|6104|9663|6255|2095
20|11|10376|47|144683|155059|21206|47982|56020|3467|8340|5803|1818
11|6|21094|183|172077|193171|83580|58526|8611|11458|2294|1801|5624
7|4|11313|92|159794|171107|30255|42453|24266|41664|6176|3459|11429
16|2|13550|90|122308|135858|25391|41284|36122|5984|6087|3670|3680
16|8|18652|121|128886|147538|34839|49686|23045|8780|4192|3862|4361
19|7|8059|69|121607|129666|48227|45750|11379|2516|6124|2230|5312
30|6|4631|38|141402|146033|47547|47540|25767|7514|5111|5145|2740
19|6|8444|122|141027|149471|66210|45377|12204|3058|6117|2394|5545
9|11|5421|181|155733|161154|25680|29999|61908|9141|13914|10056|4854
17|1|15910|220|174101|190011|49573|42770|48676|9451|10215|7732|5464
28|1|11709|148|164149|175858|76073|43621|15131|4657|3154|2279|19086
11|7|14933|53|152254|167187|69545|55761|10510|9701|1692|1380|3612
12|5|10701|46|155755|166456|15090|48831|59951|2271|17553|10066|1947
31|3|16889|158|204364|221253|94097|72777|18412|5865|4131|3932|4992
15|28|6585|205|243885|250470|58222|91754|49962|17428|9618|8557|8139
12|2|11827|77|151272|163099|17319|54523|55437|7358|7676|4480|4402
5|3|11677|74|167511|179188|71804|60196|17433|5187|4827|2977|5013
30|15|8350|96|179352|187702|62294|53602|36686|9661|7165|5229|4619
15|27|6488|123|186580|193068|45528|81637|24913|12240|11761|5077|5301
15|17|4530|132|154368|158898|21329|49592|47416|12350|9061|7584|6904
14|4|6825|182|172332|179157|45029|68446|12170|13064|4713|23856|4872
30|14|4855|78|152823|157678|41515|55427|35126|7754|6294|4346|2283
13|2|11143|54|152986|164129|35631|60742|32809|4747|8312|3558|7133
31|2|12143|98|199044|211187|78623|89914|13013|8436|3168|1864|3928
5|2|11296|69|167956|179252|61842|67032|19138|5289|5476|3168|5942
5|7|10501|133|137019|147520|57140|49870|13430|4459|3895|2278|5814
21|16|7898|29|126194|134092|31162|52624|16319|6921|8664|3320|7155
26|7|10946|49|151552|162498|59615|54190|26380|1720|4737|2578|2283
30|2|6059|68|170925|176984|65595|65881|23458|7745|4435|1440|2303
14|5|6828|112|177351|184179|48292|59115|19163|9290|5336|30096|5947
7|3|10696|36|161415|172111|21875|41624|28402|48449|5510|2928|12591
8|1|17305|166|158748|176053|35729|59010|28136|12398|8644|5713|8952
2|1|13461|66|127228|140689|47429|43247|17040|5379|3739|3744|6584
11|8|13270|64|173207|186477|82195|51161|13698|11115|3825|3070|8079
15|35|6158|66|162377|168535|28726|70364|32316|10267|7873|7453|5312
14|11|5720|93|155358|161078|37517|57727|11735|11907|4815|26741|4823
20|8|11558|289|170379|181937|50814|38916|48229|6163|9817|9585|6566
25|4|9929|48|117383|127312|19408|43518|17377|3002|2375|1823|29832
14|7|6108|111|160088|166196|39354|62537|11684|13530|5648|21724|5500
15|11|4483|168|156664|161147|26050|53543|43689|12434|8406|6876|5498
15|19|4673|115|156817|161490|35503|48692|42203|11180|8406|5861|4857
19|2|10265|61|170382|180647|54166|79294|13845|5409|6777|2370|8460
14|17|6572|101|176585|183157|49698|67786|13700|12375|4821|20975|7129
12|9|14731|133|126004|140735|12710|37348|47243|4090|8114|13149|3217
15|31|3627|115|131914|135541|13030|40004|49433|8559|7587|9076|4110
5|6|12361|129|179128|191489|75344|53158|27968|4972|6789|4262|6506
24|4|14848|64|130024|144872|38852|46401|17182|8082|6749|8198|4496
