ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
15|1|6457|61|166300|172757|37172|76529|16443|4258|4533|4435|3839|14467|2889|1293|262|119
30|13|5968|98|179884|185852|85071|49569|17938|3836|1984|2077|3173|10170|4293|1003|555|117
30|1|4012|40|136112|140124|52383|50579|12208|3259|1520|977|2115|9592|2432|763|179|65
8|5|13203|99|160321|173524|53717|71364|13235|5616|2819|1396|8245||2554|953|206|117
18|3|13278|64|148759|162037|44720|62506|15442|4274|5026|1982|7259||5242|1754|267|223
14|2|6748|107|159465|166213|65424|54828|7381|6923|1141|7487|4515|10102|1027|249|145|136
15|2|5898|139|173007|178905|40296|55070|32613|5685|3474|8763|5634|12378|6847|1338|491|279
30|14|4655|77|151088|155743|41076|50539|31144|3297|3037|1890|2244|8818|6481|1987|384|114
9|17|7915|234|202385|210300|49747|33774|58843|8118|7475|4237|7621|10410|16526|4198|785|417
12|2|11596|73|150073|161669|17047|54154|51471|7309|4264|2064|4366||6209|2484|509|123
15|27|6292|122|185164|191456|44832|74198|22581|5080|9775|3626|5280|14273|3573|1344|294|186
15|17|4412|132|153627|158039|21179|42578|41958|5528|4024|3363|6857|13602|11265|2260|636|245
31|5|12618|38|201785|214403|82787|88843|15843|4339|3525|923|2913||1310|1038|156|70
14|4|6642|181|171121|177763|44491|61529|10216|6331|2984|21994|4842|13421|3687|444|509|492
11|13|11904|75|138831|150735|60743|30169|21880|11266|2204|1767|7888||1790|737|221|91
11|2|13407|49|126907|140314|57837|39422|10360|7895|2111|2497|5672||659|292|73|40
17|1|15433|218|170906|186339|48346|42173|43297|9358|5818|4273|5410||8809|2377|529|298
21|3|6518|52|144073|150591|49885|41533|14291|4561|6379|2074|4698|12678|5646|1720|274|282
15|15|5868|127|171371|177239|61380|41229|32853|4843|4323|2980|4686|10092|6681|1547|379|251
25|8|11905|82|120373|132278|33304|37983|12606|5868|3380|1862|19952||3956|1021|216|143
15|24|3413|107|123758|127171|26166|38337|26251|3942|2955|1902|3661|11152|6861|1918|350|156
15|10|5016|134|186767|191783|28073|55249|45797|7674|4307|3724|6748|18273|12828|3006|723|231
18|1|10212|23|124645|134857|30058|55536|19646|2660|2862|1179|6053||4638|1554|308|128
